Player,Our Prediction,DraftKings Prediction,Position,Salary
Manu Ginobili,19.287090319535665,22.131999999999998,SG,4300
Tyson Chandler,26.421489098002354,19.132999999999999,C,4300
Luol Deng,26.07064778105395,20.192,SF,4200
Jared Dudley,16.423928933436954,15.444000000000001,SF,4200
Jose Calderon,24.104332769568742,19.192999999999998,PG,4200
Jeremy Lin,23.61195517237023,20.863000000000003,PG,4200
Kelly Olynyk,15.714888496495849,18.625,C,4200
J.J. Redick,20.039970076243893,18.5,SG,4100
Mario Chalmers,14.686804057940453,19.444000000000003,PG,4100
Chandler Parsons,29.409970758173312,14.949999999999999,SF,4100
Dwight Powell,0,21.0,PF,4100
Donatas Motiejunas,29.261370773981078,0.25,PF,4100
Trey Burke,24.689133240470831,18.972000000000001,PG,4100
Mirza Teletovic,12.397671067682555,16.010999999999999,SF,4100
P.J. Tucker,23.941270568715954,15.977,SF,4000
Courtney Lee,18.190928179050598,17.606999999999999,SG,4000
Taj Gibson,24.514894294564272,18.194000000000003,PF,4000
Andrew Nicholson,0,16.0,PF,4000
Brandon Jennings,35.920981577930682,0.0,PG,4000
Stanley Johnson,0,16.273,SF,4000
Nene Hilario,19.417164884212756,17.603999999999999,PF,3900
Danny Green,16.710309357480462,17.5,SG,3900
Justise Winslow,0,15.829000000000001,SF,3900
David West,24.952786852425355,13.635999999999999,PF,3800
Ty Lawson,29.710521012470466,18.113,PG,3800
Robin Lopez,20.178911101834778,19.079999999999998,C,3800
Marcus Thornton,10.321843521480027,18.224,SF,3800
John Henson,17.846226846649483,16.111000000000001,PF,3800
Nemanja Bjelica,0,18.827999999999999,PF,3800
Tyler Johnson,16.238580010180517,16.763999999999999,SG,3800
Austin Rivers,12.847683039208347,14.25,SG,3800
Aaron Gordon,19.97438550789774,18.887999999999998,SF,3800
Kris Humphries,17.573132898400772,13.912000000000001,PF,3700
Josh Smith,27.525183756654116,16.047999999999998,PF,3700
Spencer Hawes,10.200523211350752,14.25,C,3700
Langston Galloway,27.039829386841127,19.045000000000002,SG,3700
David Lee,11.071169382597711,14.920999999999999,PF,3600
Kevin Martin,30.927425976610763,16.75,SG,3600
Gary Neal,19.412633602904634,16.324000000000002,SG,3600
Boris Diaw,24.491787947309248,14.795,PF,3600
Aaron Brooks,23.272973601747825,15.635999999999999,PG,3600
Ramon Sessions,21.853470873373578,16.303000000000001,PG,3600
Patty Mills,12.270602109499331,16.375,PG,3600
Brandon Bass,19.009283292070961,13.632,PF,3500
Corey Brewer,21.293454796593309,13.833,SF,3500
