Player,Our Prediction,DraftKings Prediction
Anthony Davis,41.333588553979297,47.906000000000006
James Harden,44.947039478879219,52.566000000000003
LeBron James,48.087080259796807,48.207999999999998
Andre Drummond,40.687620741593179,47.618000000000002
Kevin Love,32.16820074247974,40.222000000000001
Paul Millsap,38.147515844002015,41.75
John Wall,42.048203369088611,40.375
Eric Bledsoe,40.616748046407011,41.013999999999996
Kristaps Porzingis,34.127770025787918,32.645000000000003
Carmelo Anthony,35.321222564254143,36.236999999999995
Brandon Knight,35.689793937038644,39.196999999999996
Brook Lopez,37.846564493556393,38.235999999999997
Reggie Jackson,37.163651932626337,36.946999999999996
Thaddeus Young,32.796869697903993,31.75
Dwight Howard,34.630870769752129,35.429000000000002
Dirk Nowitzki,31.57883355932799,32.082999999999998
Greg Monroe,31.921934416156304,35.408000000000001
Bradley Beal,38.712181464993215,31.923000000000002
Tyreke Evans,34.389235412345215,38.625
Al Horford,30.840667256157634,33.725999999999999
Jeff Teague,29.936247199664571,32.485999999999997
Kyrie Irving,0,0.0
Giannis Antetokounmpo,28.977643072900207,30.805999999999997
Deron Williams,37.113237273932171,30.486000000000001
Ish Smith,25.486412106530096,30.053000000000001
Jarrett Jack,27.832033231629687,31.353000000000002
Zaza Pachulia,31.017054234369134,29.696999999999999
Ryan Anderson,31.490747762879849,31.079000000000001
Julius Randle,29.57982890032374,29.028000000000002
Marcus Morris,31.56844674482738,28.658000000000001
Kobe Bryant,32.952917877192029,28.633000000000003
Marcin Gortat,35.406335001765115,28.484000000000002
Jordan Clarkson,28.629643332896272,26.208000000000002
Tristan Thompson,27.971790332873365,24.055999999999997
Clint Capela,22.009532083555698,21.75
Eric Gordon,21.010905043122975,26.974
Markieff Morris,23.664408755664315,23.313000000000002
Khris Middleton,29.228331266975658,25.946999999999999
Mo Williams,21.177827935346347,26.616999999999997
Trevor Ariza,27.151789178491796,25.526
J.R. Smith,32.453385068295091,21.800000000000001
Otto Porter,0,23.655999999999999
Joe Johnson,26.606457893739424,24.028000000000002
Michael Carter-Williams,26.768477160783544,24.143000000000001
D'Angelo Russell,28.754202297705454,23.083000000000002
Jerryd Bayless,27.799248911044067,24.346999999999998
Dennis Schroder,16.451591211767379,21.701999999999998
Terrence Jones,21.706461241444512,21.731999999999999
Rondae Hollis-Jefferson,19.586761946339852,18.902999999999999
Kent Bazemore,21.958220896405169,23.938000000000002
Kentavious Caldwell-Pope,30.270391871614283,22.881999999999998
T.J. Warren,18.023370379943401,19.792000000000002
Roy Hibbert,22.920472351877116,23.263999999999999
Arron Afflalo,25.72271510157724,21.795000000000002
Wesley Matthews,30.999947522874663,19.809000000000001
Thabo Sefolosha,25.599996331142652,20.868000000000002
Donatas Motiejunas,0,0.0
Matthew Dellavedova,25.639226480269688,20.896999999999998
Jabari Parker,23.87269997550381,17.114999999999998
Tyson Chandler,12.608946932449303,19.132999999999999
Kyle Korver,23.639836422890369,20.670999999999999
Patrick Beverley,23.297302886744138,15.395999999999999
O.J. Mayo,29.950786435411217,17.219000000000001
Dwight Powell,14.245149815294997,21.289000000000001
Ersan Ilyasova,22.972606820565019,18.565999999999999
Brandon Jennings,0,0.0
Stanley Johnson,23.4554960718473,16.579000000000001
Nene Hilario,16.651813400168148,17.603999999999999
Lou Williams,0,20.75
Jose Calderon,21.982256514478188,18.289000000000001
Jon Leuer,23.144673641490272,17.289000000000001
Marcus Thornton,11.541637903982428,19.574000000000002
Chandler Parsons,21.505989397698706,14.365
Jrue Holiday,19.97005004905774,20.731999999999999
Robin Lopez,18.350429316949253,19.803000000000001
Ty Lawson,13.830003232493082,19.027999999999999
Kris Humphries,13.179095871189382,14.405999999999999
Jared Dudley,20.595136451524638,15.433
Alex Len,23.921706697290844,15.013
Raymond Felton,29.476956657670772,17.329000000000001
P.J. Tucker,24.954315624694846,15.776
Langston Galloway,19.526744594380403,18.960999999999999
Timofey Mozgov,16.315578710200818,15.199999999999999
Shane Larkin,17.668188667710659,17.819000000000003
Iman Shumpert,0,0.0
John Henson,18.551570980913397,15.183
Mirza Teletovic,17.736828070434811,15.170999999999999
Nick Young,12.457876901703582,14.853
Ramon Sessions,13.835564688325418,16.109000000000002
Greivis Vasquez,14.917828898089812,17.047000000000001
Corey Brewer,13.539724180816627,13.802999999999999
J.J. Barea,18.581036984485763,17.390999999999998
Brandon Bass,12.932859808254136,13.5
Omer Asik,10.664022338994384,7.7079999999999993
Bojan Bogdanovic,11.359723492920336,14.235999999999999
Jason Terry,10.031144238210791,10.0
Metta World Peace,13.341518350234438,13.107000000000001
Devin Harris,14.431994876544444,16.069000000000003
Gary Neal,18.609551251832556,13.911
Norris Cole,16.324662535980309,14.625
Alexis Ajinca,12.511059309911928,11.265999999999998
Kevin Seraphin,23.358966359014197,10.782999999999999
Richard Jefferson,18.723460452355432,12.180999999999999
Anthony Tolliver,16.867305643211949,10.792
Garrett Temple,14.600627025245904,11.196
Dante Cunningham,13.61627057006349,12.434000000000001
Alonzo Gee,15.462696318898111,11.039000000000001
Wayne Ellington,8.9078058035678325,8.5150000000000006
Mike Scott,12.448942555671071,9.3420000000000005
Derrick Williams,13.094639326855095,12.735999999999999
Thomas Robinson,8.4184635984451486,10.625
Mike Muscala,18.237691421455466,10.567
Jerian Grant,15.68405741735317,13.263
Johnny O'Bryant,0,9.4710000000000001
Tyler Ennis,8.1404291094783261,7.9720000000000004
Devin Booker,10.114067061343061,8.8170000000000002
Rashad Vaughn,0,5.25
Steve Blake,12.064059219145964,10.232999999999999
James Jones,9.2297434219839509,5.694
Louis Amundson,0,6.3329999999999993
Alan Anderson,0,0.0
Ronnie Price,8.9660810735915941,8.6180000000000003
Drew Gooden,9.3513744896598823,11.542
Chris Copeland,0,4.5330000000000004
Ryan Hollins,0,0.75
Kendrick Perkins,-4.0664620354639816,9.6669999999999998
Charlie Villanueva,10.214483708203677,12.234999999999999
Sasha Vujacic,5.1515183716108162,9.875
Anderson Varejao,4.6507094060648502,6.6329999999999991
Toney Douglas,8.8509168643504239,13.625
Sasha Kaun,0,1.875
Joel Anthony,2.4650361675139614,6.0
Aron Baynes,15.596836002688235,10.632
Andrea Bargnani,11.08397014681,8.5440000000000005
Quincy Pondexter,0,0.0
Jodie Meeks,0,2.0
Lance Thomas,18.341425917513316,9.8420000000000005
Donald Sloan,0,4.0
Sonny Weems,0,4.5
JaVale McGee,10.043467760543985,11.625
Jeremy Evans,4.0139475602399326,4.8389999999999995
Tiago Splitter,12.262780674166756,12.339
Justin Holiday,10.033409382910186,8.1959999999999997
Robert Sacre,4.9364552561245887,4.0
DeJuan Blair,6.6663089918613085,5.4579999999999993
Luke Babbitt,7.3621313215586,12.673
Miles Plumlee,0,4.4669999999999996
Willie Reed,7.0803275709662099,0.0
Shelvin Mack,10.01308949566152,8.5279999999999987
Kyle O'Quinn,8.982234583437096,13.074000000000002
Lamar Patterson,8.3956567631645509,8.6999999999999993
John Jenkins,3.5653427858695323,6.0629999999999997
Ryan Kelly,3.1046297871920139,11.792
Cory Jefferson,0,4.5
Jared Cunningham,7.9776776432876275,6.516
Joe Harris,0,1.95
Tarik Black,8.1885643412529152,9.8439999999999994
Tim Hardaway Jr.,12.716816128971775,5.4379999999999997
Anthony Brown,0,2.5
Reggie Bullock,0,1.6000000000000001
Markel Brown,2.9439085582367248,5.9379999999999997
Marcelo Huertas,10.401015145548564,10.844000000000001
Salah Mejri,0,2.3500000000000001
Bryce Cotton,0,0.0
Darrun Hilliard,6.9626462265450026,5.75
Spencer Dinwiddie,12.022509545905624,11.333
Larry Nance Jr.,8.1246310958488479,10.038
K.J. McDaniels,0,3.6430000000000002
Sergey Karasev,0,2.2810000000000001
Sam Dekker,0,1.083
Justin Anderson,0,4.5499999999999998
Montrezl Harrell,5.3060349590214901,7.3929999999999998
Archie Goodwin,4.7275696570427357,8.4550000000000001
Cleanthony Early,0,2.214
Damien Inglis,0,4.7999999999999998
Walter Tavares,0,1.5
Kelly Oubre Jr.,0,5.1589999999999998
Chris McCullough,0,0.0
