2000,1999-11-02,19991102/MILHOU,MIL,HOU
2000,1999-11-02,19991102/GSWDAL,GSW,DAL
2000,1999-11-02,19991102/BOSTOR,BOS,TOR
2000,1999-11-02,19991102/ORLCHH,ORL,CHH
2000,1999-11-02,19991102/DETMIA,DET,MIA
2000,1999-11-02,19991102/ATLWAS,ATL,WAS
2000,1999-11-02,19991102/INDNJN,IND,NJN
2000,1999-11-02,19991102/CLENYK,CLE,NYK
2000,1999-11-02,19991102/PORVAN,POR,VAN
2000,1999-11-02,19991102/SEALAC,SEA,LAC
2000,1999-11-02,19991102/LALUTA,LAL,UTA
2000,1999-11-02,19991102/PHXDEN,PHX,DEN
2000,1999-11-02,19991102/PHISAS,PHI,SAS
2000,1999-11-03,19991103/WASBOS,WAS,BOS
2000,1999-11-03,19991103/LACPOR,LAC,POR
2000,1999-11-03,19991103/VANLAL,VAN,LAL
2000,1999-11-03,19991103/NYKCHI,NYK,CHI
2000,1999-11-03,19991103/NJNCLE,NJN,CLE
2000,1999-11-03,19991103/DETORL,DET,ORL
2000,1999-11-04,19991104/DALSEA,DAL,SEA
2000,1999-11-04,19991104/HOUUTA,HOU,UTA
2000,1999-11-04,19991104/GSWSAS,GSW,SAS
2000,1999-11-04,19991104/MIATOR,MIA,TOR
2000,1999-11-04,19991104/MILATL,MIL,ATL
2000,1999-11-04,19991104/INDCHH,IND,CHH
2000,1999-11-04,19991104/PHIPHX,PHI,PHX
2000,1999-11-05,19991105/MIACHI,MIA,CHI
2000,1999-11-05,19991105/DENPOR,DEN,POR
2000,1999-11-05,19991105/MINSAC,MIN,SAC
2000,1999-11-05,19991105/PHILAC,PHI,LAC
2000,1999-11-05,19991105/SASHOU,SAS,HOU
2000,1999-11-05,19991105/CLEORL,CLE,ORL
2000,1999-11-05,19991105/NYKDET,NYK,DET
2000,1999-11-05,19991105/CHHBOS,CHH,BOS
2000,1999-11-05,19991105/TORNJN,TOR,NJN
2000,1999-11-06,19991106/NYKCLE,NYK,CLE
2000,1999-11-06,19991106/BOSIND,BOS,IND
2000,1999-11-06,19991106/DETMIL,DET,MIL
2000,1999-11-06,19991106/SACMIN,SAC,MIN
2000,1999-11-06,19991106/DALGSW,DAL,GSW
2000,1999-11-06,19991106/LALPOR,LAL,POR
2000,1999-11-06,19991106/UTASEA,UTA,SEA
2000,1999-11-06,19991106/DENVAN,DEN,VAN
2000,1999-11-06,19991106/ORLWAS,ORL,WAS
