player,avg_points,std_dev_points,std_avg_ratio,riskiness_ratio
Boris Diaw,19.456790123456791,8.1691865915708668,0.41986301644494933,0.62441384902355224
Austin Daye,8.1642857142857146,9.4066510530376028,1.1521707326555244,1.7134906713176796
Jeff Ayres,6.3382352941176467,6.2259183116653096,0.9822794552047357,1.4608309649048756
Manu Ginobili,22.675000000000001,9.7376222062618556,0.42944309619677423,0.63866119693821177
Cory Joseph,14.651898734177216,9.9165118810522106,0.67680729036987008,1.006537438818363
Aron Baynes,13.75,8.4426882867512276,0.61401369358190749,0.91315176318444924
Marco Belinelli,15.899193548387096,6.9829211554738491,0.43919970747083809,0.65317107982965605
Danny Green,25.182098765432098,10.546623596683604,0.41881432103511312,0.6228542452678949
Tony Parker,24.694852941176471,10.869720848362874,0.4401613921028289,0.65460128248882965
Matt Bonner,7.4965277777777777,7.1334726070713446,0.95157022271262026,1.4151606645690158
Tim Duncan,35.20779220779221,11.011985291559256,0.31277125320917104,0.4651486185515587
Gal Mekel,7.4375,2.8311879132265312,0.38066392110608821,0.56611755466062952
Charlie Villanueva,11.23828125,9.2662801486172821,0.82452823011679677,1.2262257584749927
Devin Harris,18.13486842105263,9.3909922079151364,0.51784176151028505,0.77012633841297007
Richard Jefferson,11.462837837837839,8.4027150733248224,0.73303968809435527,1.0901653996715734
Al-Farouq Aminu,16.047297297297298,10.371991697519684,0.64633885104543709,0.96122524239440343
Jae Crowder,16.283536585365855,11.094902218559014,0.6813570357025569,1.0133037504104496
Brandan Wright,17.096666666666668,8.4796948780734578,0.4959852726500365,0.73762170285129613
Greg Smith,5.3035714285714288,4.8317849155755344,0.91104362044521858,1.3548901222290408
Monta Ellis,31.699999999999999,10.835755977085158,0.34182195511309649,0.50835237759244178
Jameer Nelson,18.746031746031747,8.9088679161475426,0.47524020213149465,0.70676995162913026
Tyson Chandler,29.826666666666668,9.8523708675481654,0.33032088290840966,0.4912481591165383
Kyle Anderson,7.4696969696969697,7.9036575729407099,1.0580961456675189,1.5735843860395538
Ronnie Price,15.959302325581396,8.2588210836739471,0.51749261435042582,0.76960709210304434
Wayne Ellington,17.869230769230768,8.3655622770701132,0.46815458287521083,0.69623232716772054
Terrence Jones,26.333333333333332,12.161136014643805,0.46181529169533442,0.68680463039360684
Jordan Clarkson,22.89406779661017,14.376345768327109,0.62795069430412698,0.93387865725216268
Ed Davis,23.050632911392405,8.4778538560501264,0.36779267140470068,0.54697562919208698
Robert Sacre,12.011194029850746,6.813315955558414,0.5672471811399985,0.84360132197980209
Julius Randle,1.5,nan,nan,nan
Jeremy Lin,23.885135135135137,10.338797556437362,0.43285489062312005,0.64373516536693853
Jordan Hill,26.342857142857142,9.8811021715304435,0.37509606941818385,0.5578371308865282
Wesley Johnson,20.424342105263158,7.4809780707295781,0.36627755411528296,0.54472236995906886
Kobe Bryant,40.264285714285712,10.962661035295664,0.2722676148556667,0.40491222779270353
Carlos Boozer,23.323943661971832,8.948303347382712,0.38365310245421047,0.5705630193905652
Francisco Garcia,8.3392857142857135,4.775344472932276,0.57263231367067979,0.85161000862111647
Joey Dorsey,9.8514492753623184,6.9497036067485558,0.70544986960742972,1.0491342440790896
Jason Terry,14.39935064935065,7.8531191151002879,0.54538008736209442,0.81108091494697565
Troy Daniels,5.8670212765957448,7.0332770872825696,1.1987815887662041,1.7828096228099661
Isaiah Canaan,15.963541666666666,12.285823605188273,0.76961766140167975,1.1445636014843827
Tarik Black,15.420634920634921,8.298832190097956,0.53816410496775213,0.80034941642279389
Kostas Papanikolaou,12.302325581395349,8.8267987070784848,0.71749025407254219,1.0670405194906321
Donatas Motiejunas,24.362676056338028,9.0179175546315999,0.37015299689483661,0.55048586911920239
James Harden,50.040123456790127,13.205553802645603,0.26389930500568526,0.39246700552118263
Patrick Beverley,23.84375,7.0526530307911273,0.29578623458101716,0.43988875892604951
Dwight Howard,34.128048780487802,12.315021563016485,0.36084751408517129,0.53664689757223494
Trevor Ariza,28.100609756097562,7.942585228842967,0.28264814528159848,0.42034999369322079
Ryan Kelly,14.701923076923077,10.231635684399663,0.69593859462234464,1.0349892215599721
Austin Rivers,13.993421052631579,8.5752525409081031,0.61280601138600455,0.91135571671499349
Chandler Parsons,28.496212121212121,9.4926583397019169,0.33312000554051657,0.49541097143423612
Xavier Henry,3.7777777777777777,4.0145135999824992,1.0626653647012498,1.5803796586216479
Tyreke Evans,35.822784810126585,10.467911277059128,0.29221377769882373,0.43457585575308433
Alexis Ajinca,15.0625,10.835556363953717,0.71937303661103513,1.0698405648523051
Eric Gordon,24.577868852459016,8.8411373919034659,0.35971944699423808,0.53496925346780644
Jrue Holiday,33.28125,10.522288234005339,0.31616265116260173,0.47019225365808137
Omer Asik,22.571428571428573,8.0374183656795193,0.35608815544149769,0.5295688522736931
Anthony Davis,49.492647058823529,14.937180058912695,0.30180604486883472,0.4488413286094538
Maurice Harkless,8.9222222222222225,7.7845312490654672,0.87248793576076222,1.2975506983393057
Jimmer Fredette,6.7400000000000002,6.1262149981927365,0.90893397599298753,1.3517526913030151
Andrew Nicholson,9.0,7.6801024966451035,0.85334472184945598,1.2690812037354453
Darius Miller,1.55,1.0954451150103324,0.70673878387763378,1.0510510976456027
Ben Gordon,9.3348214285714288,6.3647246576370025,0.68182607523227567,1.0140012988170126
Willie Green,10.879807692307692,6.7654127565296536,0.62183201650824926,0.92477905332465193
Luke Ridnour,9.7021276595744688,6.0737403189146653,0.6260214802390115,0.93100955963506615
Ryan Anderson,23.356557377049182,10.328102743686909,0.44219285303730577,0.65762244008441417
