Name,AvgPointsPerGame,DraftKings Prediction,Position,Salary
Stephen Curry,38.642453661676228,52.931999999999995,PG,10700
James Harden,50.470670869929044,52.417000000000002,SG,10600
DeMarcus Cousins,42.865092889243506,46.946000000000005,PF,10500
Russell Westbrook,47.931687521499683,55.774999999999999,PG,10400
Paul George,46.221289452690783,48.25,SF,10200
Kevin Durant,48.578953053423319,47.821000000000005,SF,10100
LeBron James,54.257074726122696,48.816000000000003,SF,10000
Damian Lillard,35.211544478165592,43.082999999999998,PG,8700
Rajon Rondo,32.7975120165693,40.829999999999998,PG,8500
Kevin Love,34.055567003841325,38.725000000000001,PF,8300
Draymond Green,46.551090099890828,39.466000000000001,PF,8100
Derrick Favors,33.743253760095428,37.118000000000002,PF,7900
Brook Lopez,40.571334433786987,37.863,C,7700
Marc Gasol,43.523370362550857,34.320999999999998,C,7300
Thaddeus Young,33.677291101192012,32.413000000000004,PF,7100
Dwight Howard,35.10432211487695,36.567,C,7000
Danilo Gallinari,31.467352715991538,32.189999999999998,SF,7000
Nikola Vucevic,33.87956329427098,33.176000000000002,C,7000
Gordon Hayward,34.292979193064276,31.291999999999998,SF,7000
Rudy Gay,29.096787047168874,30.451999999999998,SF,6900
Mike Conley,32.492382558444277,30.798000000000002,PG,6700
Kyrie Irving,0,0.0,PG,6700
C.J. McCollum,31.779513648376337,32.356999999999999,SG,6600
Victor Oladipo,36.084488922604606,32.472000000000001,SG,6600
Klay Thompson,27.853595112268646,28.320999999999998,SG,6400
Elfrid Payton,30.391445072327855,28.899999999999999,PG,6400
Zach Randolph,26.659841056153848,27.969000000000001,PF,6300
Jarrett Jack,27.170614581019933,29.934000000000001,PG,6200
Serge Ibaka,24.577565903941085,28.813000000000002,PF,6200
Tobias Harris,28.659511205898156,30.375,SF,6200
Rudy Gobert,30.094521032410537,31.535999999999998,C,6200
Will Barton,27.477251606334018,27.083000000000002,SG,5900
C.J. Miles,21.859827321314082,24.5,SF,5800
Kenneth Faried,24.168627769245212,27.234999999999999,PF,5800
George Hill,24.335118941340365,26.905999999999999,PG,5700
Evan Fournier,20.044311015185858,27.213000000000001,SF,5700
Emmanuel Mudiay,28.051851838386543,26.881,PG,5700
Monta Ellis,22.152394403441068,26.210999999999999,SG,5600
Harrison Barnes,23.540523654635553,24.896999999999998,SF,5600
Trevor Ariza,24.456900979217096,26.381,SF,5500
Wilson Chandler,0,0.0,SF,5500
Tristan Thompson,23.484604615970781,23.449999999999999,PF,5500
Clint Capela,22.512162902548909,21.666999999999998,C,5500
Al-Farouq Aminu,21.1035921476021,25.881,SF,5400
Mason Plumlee,21.620841698597989,27.488000000000003,C,5400
Alec Burks,25.574482430111377,24.944000000000003,SG,5400
Joe Johnson,24.326716351955064,23.688000000000002,SF,5300
Mo Williams,20.346482809646837,24.646999999999998,PG,5300
J.R. Smith,26.050744523887534,21.734999999999999,SG,5300
Andre Iguodala,18.314111176215111,22.568000000000001,SF,5200
Ian Mahinmi,25.844908428621238,23.125,C,5100
Terrence Jones,22.390531953523443,22.296999999999997,PF,5100
Jeff Green,20.960091398849379,19.344999999999999,SF,5000
Ed Davis,21.409109293989655,21.774000000000001,PF,5000
Omri Casspi,22.408591663604831,22.679000000000002,SF,5000
Jusuf Nurkic,0,0.0,C,5000
Rodney Hood,20.725428240538193,22.103000000000002,SG,4900
Darren Collison,23.991261339060436,23.588000000000001,PG,4800
Jordan Hill,20.168859621990421,23.044,PF,4800
Darrell Arthur,21.73633108766635,16.387999999999998,PF,4800
Rodney Stuckey,26.75397461812863,21.375,SG,4700
Patrick Beverley,21.322140419024894,16.660999999999998,PG,4700
Kosta Koufos,21.054177235505264,21.943000000000001,C,4700
Trevor Booker,20.465961104477767,16.132000000000001,PF,4600
Meyers Leonard,20.094282217158717,19.054000000000002,C,4600
Rondae Hollis-Jefferson,17.510895687231727,18.289000000000001,SG,4600
Festus Ezeli,20.648749775003306,21.385999999999999,C,4500
Matthew Dellavedova,22.384462464600137,20.803000000000001,PG,4500
Enes Kanter,20.345791657867558,23.899999999999999,C,4500
Joffrey Lauvergne,16.199649081649223,18.937999999999999,C,4500
Matt Barnes,20.66175712566179,18.844999999999999,SF,4400
