Name,AvgPointsPerGame,DraftKings Prediction,Position,Salary
Chandler Parsons,18.3161152496643,14.767999999999999,SF,4100
Raymond Felton,24.692762124502828,18.570999999999998,PG,4000
Danny Green,14.903823505468516,18.0,SG,4000
Taj Gibson,16.911986363939523,17.559000000000001,PF,4000
Brandon Jennings,0,0.0,PG,4000
Hollis Thompson,21.85389701740646,19.131,SG,4000
Nemanja Bjelica,13.461490303434326,19.016999999999999,PF,4000
Austin Rivers,14.980784629609779,14.163,SG,4000
Tony Wroten,0,6.0,PG,4000
Justise Winslow,13.208156187187498,16.152999999999999,SF,4000
Nene Hilario,18.503863883001227,17.603999999999999,PF,3900
Robin Lopez,14.607051681286041,19.417000000000002,C,3900
Kelly Olynyk,17.769115253357366,17.645,C,3900
Tyler Johnson,17.765370355834772,17.294,SG,3900
David West,13.431432054799441,13.380999999999998,PF,3800
Mirza Teletovic,20.123532202544229,15.179,SF,3800
Kevin Martin,16.208193728939303,17.457999999999998,SG,3700
Kris Humphries,12.68167649113256,14.405999999999999,PF,3700
Josh Smith,15.980060602230491,15.962999999999999,PF,3700
Spencer Hawes,14.169831445156753,14.305999999999999,C,3700
Langston Galloway,15.888802859253353,19.238,SG,3700
David Lee,15.242522991515612,14.920999999999999,PF,3600
Aaron Brooks,16.667366991503886,15.635999999999999,PG,3600
Brandon Bass,16.36310276730498,13.632,PF,3600
Ramon Sessions,14.519008504412206,16.305999999999997,PG,3600
Patrick Patterson,16.614677911697342,14.488,PF,3600
Patty Mills,15.245886773889445,16.619,PG,3600
John Henson,18.785795166789576,15.515000000000001,PF,3600
Lance Stephenson,16.901168815473604,13.132,SF,3600
Nick Young,14.259270256890627,14.027999999999999,SG,3500
Greivis Vasquez,13.789349263006338,17.047000000000001,PG,3500
Boris Diaw,16.966999039014361,14.630999999999998,PF,3400
Allen Crabbe,18.460863546949252,14.702,SG,3400
Doug McDermott,14.576300275569455,13.882,SF,3400
Frank Kaminsky,0,10.75,C,3400
Nik Stauskas,16.539366370919261,16.617999999999999,SG,3400
Paul Pierce,8.883135596022429,10.895,SF,3300
Metta World Peace,15.862727524719698,12.312999999999999,SF,3300
Kirk Hinrich,17.868918781155219,14.312999999999999,PG,3300
Devin Harris,12.72949810606892,15.663,PG,3300
Gary Neal,18.102685536786453,15.187999999999999,SG,3300
J.J. Barea,19.110304531180198,17.390999999999998,PG,3300
Josh McRoberts,14.053970031078817,10.944000000000001,PF,3300
Omer Asik,0,8.4420000000000002,C,3300
Ryan Hollins,0,2.6669999999999998,C,3200
Charlie Villanueva,12.02351466558021,12.170999999999999,PF,3200
Anthony Tolliver,13.888207669318795,12.212999999999999,PF,3200
Garrett Temple,12.244689127107065,10.827999999999999,SG,3200
Dante Cunningham,13.901031647124164,13.013,SF,3200
Gerald Henderson,17.518761027792625,10.808,SG,3200
Norris Cole,14.346543475484015,12.083,PG,3200
Alexis Ajinca,15.210643821441991,11.265999999999998,C,3200
Nikola Pekovic,0,0.0,C,3200
Kevin Seraphin,21.273221371893712,11.382,PF,3200
