player,avg_points,std_dev_points,std_avg_ratio,riskiness_ratio
Marcus Morris,27.863636363636363,10.009735520722071,0.35924010025429942,0.51770768343883444
Doug McDermott,13.611111111111111,6.4950332960147223,0.47718611970720409,0.68768191643389986
Joakim Noah,21.176470588235293,9.1684601632283851,0.43295506326356265,0.62393970683291067
Aaron Brooks,15.636363636363637,6.421023707676639,0.41064686502583153,0.59179094163889512
E'Twaun Moore,10.055555555555555,5.3327205530321971,0.53032580085403069,0.76426251310372462
Cameron Bairstow,2.875,0.5303300858899106,0.18446263857040368,0.26583258725208458
Bobby Portis,7.416666666666667,4.3898557303553076,0.59189066027262571,0.85298479307268216
Jason Thompson,5.8409090909090908,4.4444807448012522,0.76092277342900816,1.096580159144052
Brandon Rush,10.25,7.2825623434141837,0.71049388716235939,1.0239061400993346
Leandro Barbosa,13.328947368421053,6.7525985901205647,0.50661154279285581,0.73008744858105346
Shaun Livingston,12.0,2.8788018340969561,0.239900152841413,0.34572463457234492
Marreese Speights,10.368421052631579,6.2668486349093753,0.60441687341765549,0.87103655506969724
Festus Ezeli,21.228260869565219,6.1956331044710327,0.29185778065096518,0.42060175188530419
Andre Iguodala,22.858695652173914,6.875444649652473,0.30078026998004159,0.43346011952798658
James Michael McAdoo,4.0,5.2883519802171515,1.3220879950542879,1.9052859431264366
Klay Thompson,29.75,9.6248067389379184,0.32352291559455187,0.46623497502998612
Taj Gibson,18.194444444444443,8.3285280263061683,0.45775115869774363,0.65967382759635251
Derrick Rose,28.328125,7.8876056516959991,0.27843726514536343,0.40126119389068793
Pau Gasol,38.166666666666664,11.019367975897497,0.28871706487067678,0.4160756071431056
Tony Snell,12.75,6.4140241566705178,0.50306071817023668,0.72497028825186849
Ersan Ilyasova,19.170454545454547,8.9650068266899492,0.46764706624108804,0.67393500658545513
Justin Holiday,8.1964285714285712,5.8483878214333656,0.71352879738620589,1.028279806458742
Kevin Love,38.61904761904762,10.859218160052734,0.28118813977941726,0.40522553120497584
LeBron James,49.424999999999997,8.9019143417226978,0.18010954662059075,0.25955926434760213
Timofey Mozgov,14.208333333333334,7.5006127200696469,0.5279023615298285,0.76077004898961498
Mo Williams,24.277777777777779,11.01766258735894,0.45381676561203871,0.65400389952124005
J.R. Smith,21.555555555555557,9.3673225644334384,0.43456651072113889,0.62626199415455053
Stephen Curry,53.228260869565219,11.619662274928617,0.21829873990063972,0.31459443099914419
Anderson Varejao,6.5555555555555554,4.6118099320844959,0.70349643031797393,1.0138219730748135
Tristan Thompson,22.761904761904763,7.5496176188252173,0.33167776149650535,0.47798707725274037
Matthew Dellavedova,21.175000000000001,6.2503157814962504,0.29517429900808739,0.4253812490364649
Jared Cunningham,7.2777777777777777,7.0345203904874003,0.96657532083032982,1.3929499236360079
James Jones,6.4249999999999998,5.4820880578192295,0.85324327748159212,1.2296249786203175
Sasha Kaun,2.9500000000000002,3.5240246877682342,1.1945846399214353,1.7215384534397862
Joe Harris,1.95,1.823458252881047,0.93510679634925487,1.3476000395367576
Nikola Mirotic,24.333333333333332,11.176393188586484,0.45930382966793776,0.66191141101355155
Richard Jefferson,12.523809523809524,6.0909280706559628,0.48634786875960156,0.70088508577609487
Andrew Bogut,21.875,10.310593258068778,0.47134140608314412,0.67925898940394547
Jimmy Butler,37.166666666666664,8.0128573151492706,0.2155925735017741,0.31069452356574523
Draymond Green,39.021739130434781,11.18616054538087,0.28666483848886909,0.41311810500104063
Kyle Korver,21.012499999999999,8.7751424489862302,0.41761534557935659,0.60183335038418906
Jeff Teague,32.131578947368418,9.2778740759088301,0.2887462857367204,0.41611771788424168
Al Horford,33.909090909090907,7.5354501297539338,0.22222507085065221,0.32025274057846526
Kent Bazemore,24.338235294117649,8.5959388923593725,0.35318661309996213,0.50898388893710633
Paul Millsap,41.44318181818182,8.5471144595363651,0.20623692690956955,0.29721192482219172
Joel Anthony,3.8125,3.6307425778574092,0.95232592206095978,1.3724148463379426
Darrun Hilliard,5.0625,2.2488422947522726,0.44421576192637485,0.64016771204307654
Mike Scott,9.9875000000000007,5.8091777432465932,0.5816448303626125,0.83821933436173535
Reggie Bullock,1.6041666666666667,2.3656114271457231,1.474666863675256,2.1251702282036407
Steve Blake,11.388888888888889,6.8525554605467649,0.6016877965358135,0.86710363090720877
Aron Baynes,10.909090909090908,6.7526650182342722,0.61899429333814171,0.89204434983483549
Stanley Johnson,16.272727272727273,8.5488474198450977,0.52534816546534113,0.75708914887111955
Kentavious Caldwell-Pope,23.420454545454547,6.2846119532233198,0.26833859868202431,0.38670781519812042
Reggie Jackson,35.420454545454547,13.600679771972436,0.3839781263822824,0.5533581194299767
Harrison Barnes,24.897058823529413,7.7661418708921053,0.31193009286512885,0.4495283395638503
Andre Drummond,46.81818181818182,12.11556010000349,0.25877895359230757,0.37293123037256415
Jodie Meeks,2.0,2.8284271247461903,1.4142135623730951,2.0380498355993155
Mike Muscala,10.640625,6.2987887393794475,0.59195665098426531,0.85307989353175462
Spencer Dinwiddie,9.09375,7.7872807238103707,0.85633327547055627,1.2340780329969443
Omer Asik,8.375,5.6139849414722267,0.67032656017578829,0.96602024765740624
Jrue Holiday,22.03125,7.8601712237499424,0.35677372930496193,0.51415334975008842
Tiago Splitter,12.339285714285714,5.2161059219508736,0.42272349005680021,0.60919479372588781
Luke Babbitt,10.983333333333333,7.5050379904498312,0.68331150140666141,0.98473309135015119
Ish Smith,29.375,12.821266256538495,0.43646863852045942,0.62900318639866182
Alexis Ajinca,12.058823529411764,8.3204986947545265,0.68999257468696074,0.99436131205374301
