Player Name,Predicted Points,Actual Points,Difference,Pct Error
Jamal Crawford,26.495757308692919,16.750000000000004,9.7457573086929159,0.58183625723539789
Jamal Crawford,26.406106974248388,15.500000000000004,10.906106974248384,0.70361980479021824
Jamal Crawford,24.037016986227218,35.500000000000007,11.462983013772789,0.32290092996543063
Jamal Crawford,24.721710135871579,36.0,11.278289864128421,0.31328582955912282
Jamal Crawford,24.490577265789991,23.750000000000004,0.74057726578998739,0.031182200664841571
Jamal Crawford,23.177868347466244,24.750000000000004,1.5721316525337592,0.063520470809444812
Jamal Crawford,24.312297294760661,28.250000000000004,3.9377027052393423,0.13938770638015369
Jamal Crawford,25.198740636983757,41.25,16.051259363016243,0.38912143910342406
Jamal Crawford,26.685871407428429,31.500000000000004,4.8141285925715742,0.15282947912925632
Jamal Crawford,24.786029508611332,26.500000000000004,1.7139704913886717,0.064678131750515913
Jamal Crawford,23.691658166815706,17.000000000000004,6.6916581668157029,0.3936269509891589
Jamal Crawford,23.400815033857757,31.000000000000004,7.5991849661422464,0.24513499890781437
Jamal Crawford,21.087679379826859,14.000000000000004,7.0876793798268558,0.50626281284477526
Jamal Crawford,20.000817409964018,23.750000000000004,3.7491825900359856,0.15786031958046254
Jamal Crawford,19.168052548787138,20.750000000000004,1.5819474512128657,0.076238431383752553
Jamal Crawford,22.90552134457926,21.500000000000004,1.405521344579256,0.065373085794383987
Jamal Crawford,24.825867114942465,19.500000000000004,5.3258671149424615,0.27312139050986978
Jamal Crawford,22.726152290831642,12.750000000000004,9.9761522908316387,0.78244331692797142
Jamal Crawford,22.490982227427356,21.500000000000004,0.99098222742735231,0.046092196624528008
Jamal Crawford,22.588302642391206,29.500000000000004,6.9116973576087979,0.23429482568165413
Jamal Crawford,23.284433853024996,25.250000000000004,1.9655661469750072,0.077844203840594331
Jamal Crawford,23.025916910742122,34.75,11.724083089257878,0.33738368602180946
Jamal Crawford,25.073248033428435,36.75,11.676751966571565,0.31773474738970248
Jamal Crawford,27.336434301799731,29.250000000000004,1.9135656982002729,0.065421049511120433
Jamal Crawford,32.534437434789183,20.250000000000004,12.284437434789179,0.60663888566860136
Jamal Crawford,27.711686450970657,19.500000000000004,8.2116864509706531,0.42111212569080264
Jamal Crawford,26.614855542689536,21.500000000000004,5.1148555426895328,0.23790025779951313
Jamal Crawford,23.471305717227036,13.500000000000004,9.9713057172270325,0.73861523831311338
Jamal Crawford,22.457987326517106,13.750000000000004,8.7079873265171024,0.63330816920124366
Jamal Crawford,19.596392413244054,32.25,12.653607586755946,0.39235992517072699
Jamal Crawford,20.092046116041693,34.25,14.157953883958307,0.41337091631995054
Jamal Crawford,22.359545247819863,24.000000000000004,1.6404547521801405,0.068352281340839177
Jamal Crawford,23.748189284879807,24.250000000000004,0.5018107151201967,0.020693225365781304
Jamal Crawford,25.650553520856295,22.750000000000004,2.9005535208562918,0.12749685805961719
Jamal Crawford,25.173662539810216,25.000000000000004,0.17366253981021273,0.0069465015924085084
Jamal Crawford,24.84156307796389,17.250000000000004,7.5915630779638867,0.44009061321529769
Jamal Crawford,23.904102853593685,37.0,13.095897146406315,0.3539431661190896
Jamal Crawford,24.705509117535467,30.250000000000004,5.5444908824645367,0.18328895479221607
Jamal Crawford,24.598302393178471,16.750000000000004,7.8483023931784679,0.46855536675692333
Jamal Crawford,23.507855300917321,19.500000000000004,4.007855300917317,0.20553104107268289
Jamal Crawford,23.907778995457804,30.250000000000004,6.3422210045421998,0.20966019849726278
Jamal Crawford,26.1051310148388,15.500000000000004,10.605131014838797,0.68420200095734163
Jamal Crawford,25.144687733780994,26.500000000000004,1.3553122662190091,0.051143859102604113
Jamal Crawford,25.938206454193832,31.750000000000004,5.8117935458061716,0.18304861561594238
Jamal Crawford,28.05416331475536,27.500000000000004,0.55416331475535685,0.020151393263831155
Jamal Crawford,29.94046570398158,32.25,2.3095342960184198,0.071613466543206813
Jamal Crawford,28.973131306944374,41.0,12.026868693055626,0.29333826080623476
Jamal Crawford,33.102023392579731,35.250000000000007,2.1479766074202757,0.060935506593482985
Jamal Crawford,31.745627279290296,24.250000000000004,7.4956272792902929,0.30909803213568215
Jamal Crawford,28.800010648932101,27.000000000000004,1.8000106489320977,0.066667061071559161
Jamal Crawford,27.984632198655241,31.750000000000004,3.7653678013447625,0.11859426145967754
Jamal Crawford,28.076217177044654,20.000000000000004,8.0762171770446507,0.40381085885223245
Jamal Crawford,26.318130203495301,12.000000000000004,14.318130203495297,1.1931775169579411
Jamal Crawford,21.220960704456846,17.000000000000004,4.2209607044568429,0.24829180614452012
Jamal Crawford,17.102503743565748,25.750000000000004,8.6474962564342555,0.33582509733725258
Jordan Farmar,11.736101862886004,26.250000000000004,14.513898137113999,0.55291040522339041
Jordan Farmar,12.660091071759197,10.250000000000004,2.4100910717591937,0.23513083626918954
Jordan Farmar,14.054462458494267,10.750000000000004,3.3044624584942639,0.3073918566041175
Spencer Hawes,15.47879461690917,14.500000000000004,0.97879461690916614,0.067503077028218339
Spencer Hawes,15.760401760402061,29.000000000000004,13.239598239597942,0.45653787033096349
Spencer Hawes,15.630462269271156,14.000000000000004,1.6304622692711526,0.11646159066222515
Spencer Hawes,16.776981676560169,28.000000000000004,11.223018323439835,0.40082208297999405
Spencer Hawes,17.137517298950549,15.750000000000004,1.3875172989505451,0.088096336441304435
Spencer Hawes,17.889816386092889,19.000000000000004,1.1101836139071146,0.058430716521427076
Spencer Hawes,14.898452853207768,18.500000000000004,3.6015471467922353,0.19467822415093161
