AvgPts,Ceiling,CeilingPct,Consistency,Floor,FloorPct,ImpPts,OppPlusMinusPct,Plus_Minus,ProjPlusMinusPct,Score,Season_PPG,Season_Plus_Minus,Upside,Vegas,AdjYPA,PassINTPct,PassSackPct,PassTDPct,PassingSuccessfulPct,YardsPerPassingAttempt,ActualPoints
19.4,31.6,82,100,7.2,31,18.58,17,94,35,94.0,20.9,6.0,99,81,7.35,2.1,4.5,5.3,48.86,7.85,22.6
10.0,18.0,0,33,2.0,0,14.14,2,13,18,13.0,7.3,-6.9,74,5,5.35,1.9,3.7,2.7,48.9,7.14,10.1
20.3,32.9,87,65,7.7,43,17.18,30,82,65,82.0,20.6,4.0,100,59,8.17,2.1,6.8,6.2,46.55,6.66,22.3
17.5,28.8,59,84,6.2,18,16.48,61,88,38,88.0,19.2,4.6,100,31,6.52,2.6,3.6,5.4,44.17,6.95,24.1
19.9,31.5,78,64,8.3,59,16.24,85,78,72,78.0,19.1,3.6,99,44,5.7,2.7,8.8,4.2,52.09,7.93,17.6
18.2,30.7,76,84,5.7,10,15.54,65,62,57,62.0,16.6,1.9,99,61,6.9,2.3,6.3,4.5,48.09,7.39,4.3
23.4,38.1,99,59,8.7,56,21.38,71,91,50,91.0,24.1,5.3,99,81,7.64,1.7,4.7,5.6,54.81,8.63,14.5
20.7,32.8,84,84,8.6,69,17.88,67,97,62,97.0,22.8,7.0,100,57,6.47,3.0,7.7,5.9,49.09,7.52,24.6
20.0,30.5,73,20,9.5,75,16.01,3,7,76,7.0,2.6,-11.7,54,70,7.47,0.0,5.3,2.8,46.55,6.94,21.3
17.2,28.3,54,100,6.1,20,16.94,1,85,30,85.0,18.9,4.3,99,46,6.71,1.3,8.5,4.3,44.93,6.6,5.6
20.5,34.2,92,77,6.8,24,17.41,63,84,64,84.0,20.1,4.2,99,63,6.17,2.4,4.2,3.7,48.77,7.41,21.2
18.8,30.7,75,50,6.9,27,19.75,10,86,22,86.0,22.6,4.3,99,82,7.18,3.3,3.9,4.9,49.76,7.37,21.8
20.0,31.9,81,100,8.1,57,19.51,80,82,31,82.0,21.8,4.0,99,52,7.84,1.7,8.0,7.0,43.56,6.37,11.6
22.6,36.3,97,100,8.9,61,19.28,63,86,68,86.0,20.5,4.4,100,90,6.72,1.9,7.0,5.7,49.63,7.58,16.5
18.5,29.4,65,68,7.6,43,20.21,65,81,19,81.0,24.1,3.9,98,44,6.03,3.4,4.9,5.9,46.94,7.45,12.1
15.6,26.9,41,74,4.3,2,13.91,3,86,45,86.0,18.5,4.4,99,24,6.51,1.5,7.6,4.3,48.28,8.15,16.4
13.0,22.7,8,100,3.3,0,14.37,32,22,21,22.0,11.1,-3.0,54,85,3.18,7.7,7.1,3.8,42.26,6.25,12.3
