"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10400,"NO@GS 10:30PM ET",49.868,"NO"
"SF","LeBron James",9800,"Cle@Chi 08:00PM ET",51.180,"Cle"
"PG","Stephen Curry",9500,"NO@GS 10:30PM ET",46.391,"GS"
"C","Andre Drummond",8200,"Det@Atl 08:00PM ET",37.274,"Det"
"PF","Pau Gasol",8000,"Cle@Chi 08:00PM ET",41.139,"Chi"
"PG","Reggie Jackson",7800,"Det@Atl 08:00PM ET",30.289,"Det"
"PF","Paul Millsap",7700,"Det@Atl 08:00PM ET",36.154,"Atl"
"SG","Jimmy Butler",7600,"Cle@Chi 08:00PM ET",37.474,"Chi"
"PF","Kevin Love",7500,"Cle@Chi 08:00PM ET",34.908,"Cle"
"C","Al Horford",7300,"Det@Atl 08:00PM ET",33.440,"Atl"
"SG","Klay Thompson",7200,"NO@GS 10:30PM ET",33.689,"GS"
"SG","Tyreke Evans",7100,"NO@GS 10:30PM ET",35.380,"NO"
"PG","Jeff Teague",7000,"Det@Atl 08:00PM ET",33.340,"Atl"
"PF","Draymond Green",6900,"NO@GS 10:30PM ET",34.758,"GS"
"PG","Kyrie Irving",6600,"Cle@Chi 08:00PM ET",36.500,"Cle"
"PG","Derrick Rose",6500,"Cle@Chi 08:00PM ET",32.012,"Chi"
"PF","Nikola Mirotic",6400,"Cle@Chi 08:00PM ET",19.935,"Chi"
"C","Joakim Noah",6000,"Cle@Chi 08:00PM ET",29.082,"Chi"
"PF","Ersan Ilyasova",5700,"Det@Atl 08:00PM ET",20.844,"Det"
"SG","Eric Gordon",5200,"NO@GS 10:30PM ET",24.869,"NO"
"PG","Jrue Holiday",5100,"NO@GS 10:30PM ET",32.035,"NO"
"C","Andrew Bogut",5000,"NO@GS 10:30PM ET",23.779,"GS"
"PF","Ryan Anderson",5000,"NO@GS 10:30PM ET",23.185,"NO"
"SG","Kyle Korver",4900,"Det@Atl 08:00PM ET",24.775,"Atl"
"PG","Mo Williams",4900,"Cle@Chi 08:00PM ET",28.390,"Cle"
"SG","J.R. Smith",4800,"Cle@Chi 08:00PM ET",23.844,"Cle"
"C","Omer Asik",4800,"NO@GS 10:30PM ET",22.484,"NO"
"SG","Kentavious Caldwell-Pope",4700,"Det@Atl 08:00PM ET",21.668,"Det"
"SF","Stanley Johnson",4700,"Det@Atl 08:00PM ET",0,"Det"
"SF","Harrison Barnes",4600,"NO@GS 10:30PM ET",21.444,"GS"
"C","Timofey Mozgov",4600,"Cle@Chi 08:00PM ET",23.042,"Cle"
"PF","Tristan Thompson",4600,"Cle@Chi 08:00PM ET",22.370,"Cle"
"C","Tiago Splitter",4500,"Det@Atl 08:00PM ET",17.936,"Atl"
"SF","Marcus Morris",4500,"Det@Atl 08:00PM ET",21.120,"Det"
"PG","Aaron Brooks",4400,"Cle@Chi 08:00PM ET",18.883,"Chi"
"PG","Dennis Schroder",4400,"Det@Atl 08:00PM ET",19.298,"Atl"
"SF","Andre Iguodala",4300,"NO@GS 10:30PM ET",20.487,"GS"
"PG","Brandon Jennings",4100,"Det@Atl 08:00PM ET",30.890,"Det"
"PF","Taj Gibson",3900,"Cle@Chi 08:00PM ET",22.338,"Chi"
"SG","Iman Shumpert",3800,"Cle@Chi 08:00PM ET",19.451,"Cle"
"SG","Tim Hardaway Jr.",3700,"Det@Atl 08:00PM ET",18.243,"Atl"
"PG","Norris Cole",3600,"NO@GS 10:30PM ET",16.835,"NO"
"C","Alexis Ajinca",3500,"NO@GS 10:30PM ET",14.606,"NO"
"PG","Shaun Livingston",3400,"NO@GS 10:30PM ET",14.222,"GS"
"C","Anderson Varejao",3400,"Cle@Chi 08:00PM ET",22.135,"Cle"
"SF","Mike Dunleavy",3300,"Cle@Chi 08:00PM ET",19.907,"Chi"
"SF","Richard Jefferson",3000,"Cle@Chi 08:00PM ET",11.170,"Cle"
"PG","Kirk Hinrich",3000,"Cle@Chi 08:00PM ET",12.132,"Chi"
"PG","Steve Blake",3000,"Det@Atl 08:00PM ET",12.250,"Det"
"SG","James Jones",3000,"Cle@Chi 08:00PM ET",7.763,"Cle"
"C","Earl Barron",3000,"Det@Atl 08:00PM ET",5.313,"Atl"
"SG","Ben Gordon",3000,"NO@GS 10:30PM ET",9.335,"GS"
"SF","Danny Granger",3000,"Det@Atl 08:00PM ET",11.435,"Det"
"PG","Nate Robinson",3000,"NO@GS 10:30PM ET",11.726,"NO"
"C","Kendrick Perkins",3000,"NO@GS 10:30PM ET",10.740,"NO"
"PG","Leandro Barbosa",3000,"NO@GS 10:30PM ET",11.534,"GS"
"SF","Cartier Martin",3000,"Det@Atl 08:00PM ET",3.739,"Det"
"PF","Anthony Tolliver",3000,"Det@Atl 08:00PM ET",12.822,"Det"
"C","Sasha Kaun",3000,"Cle@Chi 08:00PM ET",0,"Cle"
"PF","Joel Anthony",3000,"Det@Atl 08:00PM ET",6.807,"Det"
"PF","Jason Thompson",3000,"NO@GS 10:30PM ET",17.648,"GS"
"PG","Bo McCalebb",3000,"NO@GS 10:30PM ET",0,"NO"
"C","Chris Johnson",3000,"Cle@Chi 08:00PM ET",0,"Cle"
"SF","Jeff Adrien",3000,"NO@GS 10:30PM ET",11.779,"NO"
"SF","Dante Cunningham",3000,"NO@GS 10:30PM ET",13.514,"NO"
"SG","Chris Douglas-Roberts",3000,"NO@GS 10:30PM ET",3.542,"NO"
"C","Aron Baynes",3000,"Det@Atl 08:00PM ET",13.297,"Det"
"SF","Alonzo Gee",3000,"NO@GS 10:30PM ET",8.595,"NO"
"PG","Dionte Christmas",3000,"Cle@Chi 08:00PM ET",0,"Cle"
"SG","Brandon Rush",3000,"NO@GS 10:30PM ET",3.792,"GS"
"SF","Thabo Sefolosha",3000,"Det@Atl 08:00PM ET",15.620,"Atl"
"SF","Quincy Pondexter",3000,"NO@GS 10:30PM ET",14.123,"NO"
"SG","Jodie Meeks",3000,"Det@Atl 08:00PM ET",17.500,"Det"
"C","Marreese Speights",3000,"NO@GS 10:30PM ET",16.948,"GS"
"SG","Justin Holiday",3000,"Det@Atl 08:00PM ET",8.273,"Atl"
"SG","Marcus Simmons",3000,"Cle@Chi 08:00PM ET",0,"Chi"
"PF","Mike Scott",3000,"Det@Atl 08:00PM ET",13.712,"Atl"
"SG","E'Twaun Moore",3000,"Cle@Chi 08:00PM ET",5.436,"Chi"
"SF","Austin Daye",3000,"Cle@Chi 08:00PM ET",8.164,"Cle"
"SG","Jordan Crawford",3000,"Cle@Chi 08:00PM ET",0,"Chi"
"SG","Kent Bazemore",3000,"Det@Atl 08:00PM ET",12.662,"Atl"
"C","Festus Ezeli",3000,"NO@GS 10:30PM ET",10.042,"GS"
"SG","Chris Babb",3000,"NO@GS 10:30PM ET",0,"GS"
"SF","Luke Babbitt",3000,"NO@GS 10:30PM ET",7.988,"NO"
"PG","Shelvin Mack",3000,"Det@Atl 08:00PM ET",11.954,"Atl"
"SG","Ian Clark",3000,"NO@GS 10:30PM ET",3.855,"GS"
"SG","Lamar Patterson",3000,"Det@Atl 08:00PM ET",0,"Atl"
"SG","Sean Kilpatrick",3000,"NO@GS 10:30PM ET",10.625,"NO"
"PF","Jack Cooley",3000,"Cle@Chi 08:00PM ET",4.766,"Cle"
"PG","Jared Cunningham",3000,"Cle@Chi 08:00PM ET",3.461,"Cle"
"C","Mike Muscala",3000,"Det@Atl 08:00PM ET",10.435,"Atl"
"SF","D.J. Stephens",3000,"Cle@Chi 08:00PM ET",0,"Cle"
"PG","Matthew Dellavedova",3000,"Cle@Chi 08:00PM ET",12.957,"Cle"
"SG","Bryce Dejean-Jones",3000,"NO@GS 10:30PM ET",0,"NO"
"SG","Joe Harris",3000,"Cle@Chi 08:00PM ET",4.509,"Cle"
"C","Jordan Bachynski",3000,"Det@Atl 08:00PM ET",0,"Det"
"SG","Tony Snell",3000,"Cle@Chi 08:00PM ET",11.196,"Chi"
"PF","Cameron Bairstow",3000,"Cle@Chi 08:00PM ET",1.444,"Chi"
"SG","Jarell Eddie",3000,"NO@GS 10:30PM ET",0,"GS"
"SF","Reggie Bullock",3000,"Det@Atl 08:00PM ET",4.861,"Det"
"PG","Juwan Staten",3000,"NO@GS 10:30PM ET",0,"GS"
"SF","Doug McDermott",3000,"Cle@Chi 08:00PM ET",4.840,"Chi"
"SF","Eric Griffin",3000,"Det@Atl 08:00PM ET",0,"Det"
"PF","Nick Minnerath",3000,"Cle@Chi 08:00PM ET",0,"Cle"
"PG","Quinn Cook",3000,"Cle@Chi 08:00PM ET",0,"Cle"
"SG","Darrun Hilliard",3000,"Det@Atl 08:00PM ET",0,"Det"
"PG","Spencer Dinwiddie",3000,"Det@Atl 08:00PM ET",11.824,"Det"
