"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Derrick Williams",3200,"NY@Was 07:00PM ET",24.375,"NY"
"SG","Devin Booker",3200,"Pho@Por 10:00PM ET",9.875,"Pho"
"SF","Dante Cunningham",3100,"GS@NO 07:30PM ET",13.750,"NO"
"C","Festus Ezeli",3100,"GS@NO 07:30PM ET",22.625,"GS"
"PF","JaMychal Green",3100,"Bkn@Mem 08:00PM ET",11.875,"Mem"
"SG","Vince Carter",3000,"Bkn@Mem 08:00PM ET",0,"Mem"
"C","Chris Kaman",3000,"Pho@Por 10:00PM ET",0,"Por"
"PF","Louis Amundson",3000,"NY@Was 07:00PM ET",0,"NY"
"SG","Alan Anderson",3000,"NY@Was 07:00PM ET",0,"Was"
"PG","Ronnie Price",3000,"Pho@Por 10:00PM ET",7.250,"Pho"
"PF","Drew Gooden",3000,"NY@Was 07:00PM ET",11.500,"Was"
"SF","Caron Butler",3000,"Sac@LAC 10:30PM ET",12.500,"Sac"
"SG","Gary Neal",3000,"NY@Was 07:00PM ET",13.750,"Was"
"C","Kendrick Perkins",3000,"GS@NO 07:30PM ET",12.750,"NO"
"PG","Leandro Barbosa",3000,"GS@NO 07:30PM ET",13.750,"GS"
"SG","Garrett Temple",3000,"NY@Was 07:00PM ET",0.000,"Was"
"PF","Jason Thompson",3000,"GS@NO 07:30PM ET",7.750,"GS"
"PG","Ramon Sessions",3000,"NY@Was 07:00PM ET",19.875,"Was"
"SF","Martell Webster",3000,"NY@Was 07:00PM ET",0,"Was"
"SF","Luc Richard Mbah a Moute",3000,"Sac@LAC 10:30PM ET",1.500,"LAC"
"SF","Alonzo Gee",3000,"GS@NO 07:30PM ET",13.500,"NO"
"SG","Brandon Rush",3000,"GS@NO 07:30PM ET",2.250,"GS"
"SF","Wesley Johnson",3000,"Sac@LAC 10:30PM ET",11.125,"LAC"
"SG","Wayne Ellington",3000,"Bkn@Mem 08:00PM ET",7.375,"Bkn"
"SF","Chase Budinger",3000,"Uta@Ind 07:00PM ET",8.750,"Ind"
"SF","Quincy Pondexter",3000,"GS@NO 07:30PM ET",0,"NO"
"SF","Lance Thomas",3000,"NY@Was 07:00PM ET",15.500,"NY"
"PG","Donald Sloan",3000,"Bkn@Mem 08:00PM ET",4.000,"Bkn"
"PF","Trevor Booker",3000,"Uta@Ind 07:00PM ET",5.750,"Uta"
"SG","Sonny Weems",3000,"Pho@Por 10:00PM ET",6.500,"Pho"
"SG","Elijah Millsap",3000,"Uta@Ind 07:00PM ET",3.250,"Uta"
"C","Cole Aldrich",3000,"Sac@LAC 10:30PM ET",0.750,"LAC"
"SG","James Anderson",3000,"Sac@LAC 10:30PM ET",2.250,"Sac"
"C","DeJuan Blair",3000,"NY@Was 07:00PM ET",0,"Was"
"C","Lavoy Allen",3000,"Uta@Ind 07:00PM ET",3.625,"Ind"
"C","Jeff Withey",3000,"Uta@Ind 07:00PM ET",0,"Uta"
"SF","Luke Babbitt",3000,"GS@NO 07:30PM ET",0,"NO"
"SF","Chris Johnson",3000,"Uta@Ind 07:00PM ET",7.250,"Uta"
"PG","Seth Curry",3000,"Sac@LAC 10:30PM ET",4.750,"Sac"
"PF","Quincy Acy",3000,"Sac@LAC 10:30PM ET",0,"Sac"
