"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10700,"GS@Ind 07:00PM ET",52.932,"GS"
"SG","James Harden",10600,"Hou@Bkn 07:30PM ET",52.417,"Hou"
"PF","DeMarcus Cousins",10500,"Uta@Sac 10:00PM ET",46.946,"Sac"
"PG","Russell Westbrook",10400,"OKC@Mem 08:00PM ET",55.775,"OKC"
"SF","Paul George",10200,"GS@Ind 07:00PM ET",48.250,"Ind"
"SF","Kevin Durant",10100,"OKC@Mem 08:00PM ET",47.821,"OKC"
"SF","LeBron James",10000,"Por@Cle 07:00PM ET",48.816,"Cle"
"PG","Damian Lillard",8700,"Por@Cle 07:00PM ET",43.083,"Por"
"PG","Rajon Rondo",8500,"Uta@Sac 10:00PM ET",40.830,"Sac"
"PF","Kevin Love",8300,"Por@Cle 07:00PM ET",38.725,"Cle"
"PF","Draymond Green",8100,"GS@Ind 07:00PM ET",39.466,"GS"
"PF","Derrick Favors",7900,"Uta@Sac 10:00PM ET",37.118,"Uta"
"C","Brook Lopez",7700,"Hou@Bkn 07:30PM ET",37.863,"Bkn"
"C","Marc Gasol",7300,"OKC@Mem 08:00PM ET",34.321,"Mem"
"PF","Thaddeus Young",7100,"Hou@Bkn 07:30PM ET",32.413,"Bkn"
"C","Dwight Howard",7000,"Hou@Bkn 07:30PM ET",36.567,"Hou"
"SF","Danilo Gallinari",7000,"Orl@Den 09:00PM ET",32.190,"Den"
"C","Nikola Vucevic",7000,"Orl@Den 09:00PM ET",33.176,"Orl"
"SF","Gordon Hayward",7000,"Uta@Sac 10:00PM ET",31.292,"Uta"
"SF","Rudy Gay",6900,"Uta@Sac 10:00PM ET",30.452,"Sac"
"PG","Mike Conley",6700,"OKC@Mem 08:00PM ET",30.798,"Mem"
"PG","Kyrie Irving",6700,"Por@Cle 07:00PM ET",0,"Cle"
"SG","C.J. McCollum",6600,"Por@Cle 07:00PM ET",32.357,"Por"
"SG","Victor Oladipo",6600,"Orl@Den 09:00PM ET",32.472,"Orl"
"SG","Klay Thompson",6400,"GS@Ind 07:00PM ET",28.321,"GS"
"PG","Elfrid Payton",6400,"Orl@Den 09:00PM ET",28.900,"Orl"
"PF","Zach Randolph",6300,"OKC@Mem 08:00PM ET",27.969,"Mem"
"PG","Jarrett Jack",6200,"Hou@Bkn 07:30PM ET",29.934,"Bkn"
"PF","Serge Ibaka",6200,"OKC@Mem 08:00PM ET",28.813,"OKC"
"SF","Tobias Harris",6200,"Orl@Den 09:00PM ET",30.375,"Orl"
"C","Rudy Gobert",6200,"Uta@Sac 10:00PM ET",31.536,"Uta"
"SG","Will Barton",5900,"Orl@Den 09:00PM ET",27.083,"Den"
"SF","C.J. Miles",5800,"GS@Ind 07:00PM ET",24.500,"Ind"
"PF","Kenneth Faried",5800,"Orl@Den 09:00PM ET",27.235,"Den"
"PG","George Hill",5700,"GS@Ind 07:00PM ET",26.906,"Ind"
"SF","Evan Fournier",5700,"Orl@Den 09:00PM ET",27.213,"Orl"
"PG","Emmanuel Mudiay",5700,"Orl@Den 09:00PM ET",26.881,"Den"
"SG","Monta Ellis",5600,"GS@Ind 07:00PM ET",26.211,"Ind"
"SF","Harrison Barnes",5600,"GS@Ind 07:00PM ET",24.897,"GS"
"SF","Trevor Ariza",5500,"Hou@Bkn 07:30PM ET",26.381,"Hou"
"SF","Wilson Chandler",5500,"Orl@Den 09:00PM ET",0,"Den"
"PF","Tristan Thompson",5500,"Por@Cle 07:00PM ET",23.450,"Cle"
"C","Clint Capela",5500,"Hou@Bkn 07:30PM ET",21.667,"Hou"
"SF","Al-Farouq Aminu",5400,"Por@Cle 07:00PM ET",25.881,"Por"
"C","Mason Plumlee",5400,"Por@Cle 07:00PM ET",27.488,"Por"
"SG","Alec Burks",5400,"Uta@Sac 10:00PM ET",24.944,"Uta"
"SF","Joe Johnson",5300,"Hou@Bkn 07:30PM ET",23.688,"Bkn"
"PG","Mo Williams",5300,"Por@Cle 07:00PM ET",24.647,"Cle"
"SG","J.R. Smith",5300,"Por@Cle 07:00PM ET",21.735,"Cle"
"SF","Andre Iguodala",5200,"GS@Ind 07:00PM ET",22.568,"GS"
"C","Ian Mahinmi",5100,"GS@Ind 07:00PM ET",23.125,"Ind"
"PF","Terrence Jones",5100,"Hou@Bkn 07:30PM ET",22.297,"Hou"
"SF","Jeff Green",5000,"OKC@Mem 08:00PM ET",19.345,"Mem"
"PF","Ed Davis",5000,"Por@Cle 07:00PM ET",21.774,"Por"
"SF","Omri Casspi",5000,"Uta@Sac 10:00PM ET",22.679,"Sac"
"C","Jusuf Nurkic",5000,"Orl@Den 09:00PM ET",0,"Den"
"SG","Rodney Hood",4900,"Uta@Sac 10:00PM ET",22.103,"Uta"
"PG","Darren Collison",4800,"Uta@Sac 10:00PM ET",23.588,"Sac"
"PF","Jordan Hill",4800,"GS@Ind 07:00PM ET",23.044,"Ind"
"PF","Darrell Arthur",4800,"Orl@Den 09:00PM ET",16.388,"Den"
"SG","Rodney Stuckey",4700,"GS@Ind 07:00PM ET",21.375,"Ind"
"PG","Patrick Beverley",4700,"Hou@Bkn 07:30PM ET",16.661,"Hou"
"C","Kosta Koufos",4700,"Uta@Sac 10:00PM ET",21.943,"Sac"
"PF","Trevor Booker",4600,"Uta@Sac 10:00PM ET",16.132,"Uta"
"C","Meyers Leonard",4600,"Por@Cle 07:00PM ET",19.054,"Por"
"SG","Rondae Hollis-Jefferson",4600,"Hou@Bkn 07:30PM ET",18.289,"Bkn"
"C","Festus Ezeli",4500,"GS@Ind 07:00PM ET",21.386,"GS"
"PG","Matthew Dellavedova",4500,"Por@Cle 07:00PM ET",20.803,"Cle"
"C","Enes Kanter",4500,"OKC@Mem 08:00PM ET",23.900,"OKC"
"C","Joffrey Lauvergne",4500,"Orl@Den 09:00PM ET",18.938,"Den"
"SF","Matt Barnes",4400,"OKC@Mem 08:00PM ET",18.845,"Mem"
"C","Andrew Bogut",4300,"GS@Ind 07:00PM ET",21.000,"GS"
"PF","Donatas Motiejunas",4300,"Hou@Bkn 07:30PM ET",0.250,"Hou"
"PG","Shane Larkin",4300,"Hou@Bkn 07:30PM ET",18.650,"Bkn"
"PG","Mario Chalmers",4100,"OKC@Mem 08:00PM ET",19.444,"Mem"
"SG","Dion Waiters",4100,"OKC@Mem 08:00PM ET",20.563,"OKC"
"SG","Gary Harris",4100,"Orl@Den 09:00PM ET",18.438,"Den"
"SG","Courtney Lee",4000,"OKC@Mem 08:00PM ET",17.607,"Mem"
"SG","Marco Belinelli",4000,"Uta@Sac 10:00PM ET",18.284,"Sac"
"PF","J.J. Hickson",4000,"Orl@Den 09:00PM ET",16.162,"Den"
"PF","Andrew Nicholson",4000,"Orl@Den 09:00PM ET",16.000,"Orl"
"PG","Trey Burke",3900,"Uta@Sac 10:00PM ET",18.972,"Uta"
"SF","Aaron Gordon",3900,"Orl@Den 09:00PM ET",18.888,"Orl"
"C","Nikola Jokic",3900,"Orl@Den 09:00PM ET",17.250,"Den"
"PG","Ty Lawson",3800,"Hou@Bkn 07:30PM ET",18.113,"Hou"
"SF","Marcus Thornton",3800,"Hou@Bkn 07:30PM ET",18.224,"Hou"
"C","Steven Adams",3800,"OKC@Mem 08:00PM ET",17.863,"OKC"
"C","Lavoy Allen",3700,"GS@Ind 07:00PM ET",14.819,"Ind"
"C","Timofey Mozgov",3700,"Por@Cle 07:00PM ET",15.044,"Cle"
"SG","Ben McLemore",3700,"Uta@Sac 10:00PM ET",14.455,"Sac"
"SG","Iman Shumpert",3600,"Por@Cle 07:00PM ET",0,"Cle"
"SF","Bojan Bogdanovic",3600,"Hou@Bkn 07:30PM ET",14.500,"Bkn"
"PG","Jameer Nelson",3500,"Orl@Den 09:00PM ET",16.276,"Den"
"PG","Randy Foye",3500,"Orl@Den 09:00PM ET",11.488,"Den"
"SF","Corey Brewer",3500,"Hou@Bkn 07:30PM ET",13.833,"Hou"
"SG","Brandon Rush",3500,"GS@Ind 07:00PM ET",9.464,"GS"
"PF","JaMychal Green",3500,"OKC@Mem 08:00PM ET",14.762,"Mem"
"SF","Tony Allen",3400,"OKC@Mem 08:00PM ET",15.167,"Mem"
"SG","Allen Crabbe",3400,"Por@Cle 07:00PM ET",14.702,"Por"
"C","Willie Cauley-Stein",3400,"Uta@Sac 10:00PM ET",14.813,"Sac"
"PF","Channing Frye",3300,"Orl@Den 09:00PM ET",12.483,"Orl"
"PG","Leandro Barbosa",3300,"GS@Ind 07:00PM ET",13.329,"GS"
"PG","Shaun Livingston",3300,"GS@Ind 07:00PM ET",12.075,"GS"
"PG","Jason Terry",3200,"Hou@Bkn 07:30PM ET",10.132,"Hou"
"SF","Richard Jefferson",3200,"Por@Cle 07:00PM ET",12.625,"Cle"
"PF","Jason Smith",3200,"Orl@Den 09:00PM ET",11.567,"Orl"
"PF","Brandan Wright",3200,"OKC@Mem 08:00PM ET",14.571,"Mem"
"SF","Chase Budinger",3200,"GS@Ind 07:00PM ET",10.711,"Ind"
"SG","Gerald Henderson",3200,"Por@Cle 07:00PM ET",10.808,"Por"
"C","Marreese Speights",3200,"GS@Ind 07:00PM ET",10.944,"GS"
"PF","Thomas Robinson",3200,"Hou@Bkn 07:30PM ET",10.750,"Bkn"
"SG","Andre Roberson",3200,"OKC@Mem 08:00PM ET",12.711,"OKC"
"SG","Markel Brown",3200,"Hou@Bkn 07:30PM ET",6.875,"Bkn"
"C","Dewayne Dedmon",3200,"Orl@Den 09:00PM ET",13.679,"Orl"
"SF","Maurice Harkless",3200,"Por@Cle 07:00PM ET",14.226,"Por"
"PG","Raul Neto",3200,"Uta@Sac 10:00PM ET",11.958,"Uta"
"C","Myles Turner",3200,"GS@Ind 07:00PM ET",12.031,"Ind"
"SG","Mike Miller",3100,"Orl@Den 09:00PM ET",5.875,"Den"
"SG","James Jones",3100,"Por@Cle 07:00PM ET",6.425,"Cle"
"C","Chris Kaman",3100,"Por@Cle 07:00PM ET",8.167,"Por"
"PG","C.J. Watson",3100,"Orl@Den 09:00PM ET",13.875,"Orl"
"C","Anderson Varejao",3100,"Por@Cle 07:00PM ET",6.529,"Cle"
"SG","Anthony Morrow",3100,"OKC@Mem 08:00PM ET",9.145,"OKC"
"PG","D.J. Augustin",3100,"OKC@Mem 08:00PM ET",11.050,"OKC"
"SG","Wayne Ellington",3100,"Hou@Bkn 07:30PM ET",8.250,"Bkn"
"C","Jeff Withey",3100,"Uta@Sac 10:00PM ET",7.325,"Uta"
"PG","Seth Curry",3100,"Uta@Sac 10:00PM ET",7.125,"Sac"
"SF","Willie Reed",3100,"Hou@Bkn 07:30PM ET",12.125,"Bkn"
"SG","Jared Cunningham",3100,"Por@Cle 07:00PM ET",7.074,"Cle"
"PG","Shabazz Napier",3100,"Orl@Den 09:00PM ET",9.526,"Orl"
"SG","Joe Ingles",3100,"Uta@Sac 10:00PM ET",7.750,"Uta"
"SG","James Ennis",3100,"OKC@Mem 08:00PM ET",2.625,"Mem"
"PF","Trey Lyles",3100,"Uta@Sac 10:00PM ET",5.500,"Uta"
"SG","Vince Carter",3000,"OKC@Mem 08:00PM ET",9.300,"Mem"
"C","Nick Collison",3000,"OKC@Mem 08:00PM ET",9.438,"OKC"
"SF","Caron Butler",3000,"Uta@Sac 10:00PM ET",5.469,"Sac"
"SF","Steve Novak",3000,"OKC@Mem 08:00PM ET",4.750,"OKC"
"C","Sasha Kaun",3000,"Por@Cle 07:00PM ET",2.950,"Cle"
"PF","Jason Thompson",3000,"GS@Ind 07:00PM ET",5.841,"GS"
"C","Andrea Bargnani",3000,"Hou@Bkn 07:30PM ET",8.544,"Bkn"
"PG","Donald Sloan",3000,"Hou@Bkn 07:30PM ET",3.125,"Bkn"
"SG","Elijah Millsap",3000,"Uta@Sac 10:00PM ET",4.556,"Uta"
"SF","Kyle Singler",3000,"OKC@Mem 08:00PM ET",5.734,"OKC"
"SG","James Anderson",3000,"Uta@Sac 10:00PM ET",4.827,"Sac"
"SF","Chris Johnson",3000,"Uta@Sac 10:00PM ET",3.071,"Uta"
"PF","Quincy Acy",3000,"Uta@Sac 10:00PM ET",6.182,"Sac"
"SG","Ian Clark",3000,"GS@Ind 07:00PM ET",6.847,"GS"
"C","Shayne Whittington",3000,"GS@Ind 07:00PM ET",-1.000,"Ind"
"SF","Solomon Hill",3000,"GS@Ind 07:00PM ET",4.464,"Ind"
"PG","Tim Frazier",3000,"Por@Cle 07:00PM ET",2.250,"Por"
"SG","Joe Harris",3000,"Por@Cle 07:00PM ET",1.950,"Cle"
"C","Tibor Pleiss",3000,"Uta@Sac 10:00PM ET",1.688,"Uta"
"SF","Duje Dukan",3000,"Uta@Sac 10:00PM ET",0,"Sac"
"SF","Josh Huestis",3000,"OKC@Mem 08:00PM ET",0,"OKC"
"PG","Russ Smith",3000,"OKC@Mem 08:00PM ET",2.850,"Mem"
"PF","Eric Moreland",3000,"Uta@Sac 10:00PM ET",3.900,"Sac"
"SF","Devyn Marble",3000,"Orl@Den 09:00PM ET",0.950,"Orl"
"SG","Joe Young",3000,"GS@Ind 07:00PM ET",3.036,"Ind"
"SF","Pat Connaughton",3000,"Por@Cle 07:00PM ET",1.042,"Por"
"SF","K.J. McDaniels",3000,"Hou@Bkn 07:30PM ET",3.643,"Hou"
"PF","James Michael McAdoo",3000,"GS@Ind 07:00PM ET",4.000,"GS"
"PF","Rakeem Christmas",3000,"GS@Ind 07:00PM ET",0,"Ind"
"SF","Kostas Papanikolaou",3000,"Orl@Den 09:00PM ET",3.768,"Den"
"SF","Sergey Karasev",3000,"Hou@Bkn 07:30PM ET",2.028,"Bkn"
"SF","Sam Dekker",3000,"Hou@Bkn 07:30PM ET",1.083,"Hou"
"SG","Jordan Adams",3000,"OKC@Mem 08:00PM ET",9.500,"Mem"
"PF","Montrezl Harrell",3000,"Hou@Bkn 07:30PM ET",7.383,"Hou"
"SF","Glenn Robinson III",3000,"GS@Ind 07:00PM ET",8.917,"Ind"
"PF","Mitch McGary",3000,"OKC@Mem 08:00PM ET",3.792,"OKC"
"PF","Jarell Martin",3000,"OKC@Mem 08:00PM ET",0,"Mem"
"PF","Noah Vonleh",3000,"Por@Cle 07:00PM ET",7.714,"Por"
"PG","Cameron Payne",3000,"OKC@Mem 08:00PM ET",3.222,"OKC"
"PG","Dante Exum",3000,"Uta@Sac 10:00PM ET",0,"Uta"
"SG","Mario Hezonja",3000,"Orl@Den 09:00PM ET",6.514,"Orl"
"PF","Cliff Alexander",3000,"Por@Cle 07:00PM ET",3.833,"Por"
"PF","Kevon Looney",3000,"GS@Ind 07:00PM ET",0,"GS"
"PF","Chris McCullough",3000,"Hou@Bkn 07:30PM ET",0,"Bkn"
"SF","Luis Montero",3000,"Por@Cle 07:00PM ET",2.125,"Por"
