"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10800,"OKC@Was 07:00PM ET",55.536,"OKC"
"PF","Anthony Davis",10700,"Dal@NO 08:00PM ET",48.417,"NO"
"SF","LeBron James",10000,"Uta@Cle 07:00PM ET",47.143,"Cle"
"SF","Kevin Durant",9700,"OKC@Was 07:00PM ET",48.214,"OKC"
"PG","John Wall",9000,"OKC@Was 07:00PM ET",44.833,"Was"
"SF","Carmelo Anthony",8500,"NY@Tor 07:30PM ET",38.964,"NY"
"PF","Greg Monroe",8400,"Bos@Mil 08:00PM ET",38.679,"Mil"
"PF","Kevin Love",7900,"Uta@Cle 07:00PM ET",40.071,"Cle"
"PG","Kyle Lowry",7800,"NY@Tor 07:30PM ET",39.107,"Tor"
"C","Hassan Whiteside",7600,"LAL@Mia 07:30PM ET",37.714,"Mia"
"PG","Ricky Rubio",7500,"Cha@Min 08:00PM ET",36.000,"Min"
"C","Karl-Anthony Towns",7400,"Cha@Min 08:00PM ET",36.333,"Min"
"SF","Giannis Antetokounmpo",7300,"Bos@Mil 08:00PM ET",34.833,"Mil"
"SG","DeMar DeRozan",7200,"NY@Tor 07:30PM ET",34.286,"Tor"
"PF","Derrick Favors",7100,"Uta@Cle 07:00PM ET",33.917,"Uta"
"PF","Chris Bosh",7000,"LAL@Mia 07:30PM ET",36.500,"Mia"
"PG","Isaiah Thomas",7000,"Bos@Mil 08:00PM ET",36.900,"Bos"
"C","Rudy Gobert",7000,"Uta@Cle 07:00PM ET",33.667,"Uta"
"SG","Bradley Beal",6900,"OKC@Was 07:00PM ET",34.708,"Was"
"SG","Tyreke Evans",6800,"Dal@NO 08:00PM ET",0,"NO"
"PG","Kyrie Irving",6700,"Uta@Cle 07:00PM ET",0,"Cle"
"PG","Kemba Walker",6600,"Cha@Min 08:00PM ET",32.542,"Cha"
"PF","Julius Randle",6600,"LAL@Mia 07:30PM ET",29.458,"LAL"
"C","Al Jefferson",6500,"Cha@Min 08:00PM ET",30.542,"Cha"
"PF","Serge Ibaka",6500,"OKC@Was 07:00PM ET",30.179,"OKC"
"SG","Nicolas Batum",6500,"Cha@Min 08:00PM ET",30.708,"Cha"
"SF","Gordon Hayward",6500,"Uta@Cle 07:00PM ET",25.500,"Uta"
"PF","Dirk Nowitzki",6400,"Dal@NO 08:00PM ET",31.542,"Dal"
"SG","Dwyane Wade",6400,"LAL@Mia 07:30PM ET",31.464,"Mia"
"PG","Michael Carter-Williams",6300,"Bos@Mil 08:00PM ET",32.875,"Mil"
"SG","Kobe Bryant",6200,"LAL@Mia 07:30PM ET",26.625,"LAL"
"C","Jonas Valanciunas",6100,"NY@Tor 07:30PM ET",30.107,"Tor"
"SG","Andrew Wiggins",6100,"Cha@Min 08:00PM ET",28.375,"Min"
"PG","Mo Williams",6000,"Uta@Cle 07:00PM ET",28.214,"Cle"
"PG","Deron Williams",5900,"Dal@NO 08:00PM ET",27.500,"Dal"
"SG","Eric Gordon",5800,"Dal@NO 08:00PM ET",29.042,"NO"
"SG","Khris Middleton",5800,"Bos@Mil 08:00PM ET",26.036,"Mil"
"PG","Jordan Clarkson",5700,"LAL@Mia 07:30PM ET",25.625,"LAL"
"PF","Kristaps Porzingis",5700,"NY@Tor 07:30PM ET",29.429,"NY"
"SF","DeMarre Carroll",5600,"NY@Tor 07:30PM ET",23.708,"Tor"
"PF","Ryan Anderson",5600,"Dal@NO 08:00PM ET",29.333,"NO"
"PG","Goran Dragic",5600,"LAL@Mia 07:30PM ET",22.179,"Mia"
"PF","Jared Sullinger",5500,"Bos@Mil 08:00PM ET",28.650,"Bos"
"C","Zaza Pachulia",5400,"Dal@NO 08:00PM ET",26.792,"Dal"
"PF","Marvin Williams",5400,"Cha@Min 08:00PM ET",28.625,"Cha"
"C","Enes Kanter",5400,"OKC@Was 07:00PM ET",26.607,"OKC"
"C","Marcin Gortat",5300,"OKC@Was 07:00PM ET",25.000,"Was"
"PG","Jrue Holiday",5300,"Dal@NO 08:00PM ET",23.375,"NO"
"SF","Otto Porter",5100,"OKC@Was 07:00PM ET",25.542,"Was"
"SG","Alec Burks",5000,"Uta@Cle 07:00PM ET",23.917,"Uta"
"PF","Tristan Thompson",5000,"Uta@Cle 07:00PM ET",23.929,"Cle"
"PG","Lou Williams",4900,"LAL@Mia 07:30PM ET",24.667,"LAL"
"SF","Rodney Hood",4900,"Uta@Cle 07:00PM ET",22.417,"Uta"
"C","Robin Lopez",4800,"NY@Tor 07:30PM ET",21.929,"NY"
"SF","Jae Crowder",4800,"Bos@Mil 08:00PM ET",27.900,"Bos"
"PG","Marcus Smart",4800,"Bos@Mil 08:00PM ET",26.917,"Bos"
"SG","Kevin Martin",4700,"Cha@Min 08:00PM ET",20.950,"Min"
"C","Roy Hibbert",4700,"LAL@Mia 07:30PM ET",24.833,"LAL"
