"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10500,"Det@GS 10:30PM ET",56.429,"GS"
"C","DeMarcus Cousins",9800,"SA@Sac 10:00PM ET",41.917,"Sac"
"PF","Blake Griffin",9600,"Mem@LAC 10:30PM ET",49.750,"LAC"
"C","Andre Drummond",9100,"Det@GS 10:30PM ET",50.350,"Det"
"PG","Chris Paul",9000,"Mem@LAC 10:30PM ET",37.200,"LAC"
"SF","Paul George",8600,"Orl@Ind 07:00PM ET",43.917,"Ind"
"PG","Damian Lillard",8500,"Por@Den 09:00PM ET",44.458,"Por"
"SF","Kawhi Leonard",8100,"SA@Sac 10:00PM ET",40.417,"SA"
"SG","Jimmy Butler",7900,"Chi@Phi 07:00PM ET",37.464,"Chi"
"C","DeAndre Jordan",7800,"Mem@LAC 10:30PM ET",36.542,"LAC"
"PF","Paul Millsap",7700,"Min@Atl 08:00PM ET",40.781,"Atl"
"C","Nikola Vucevic",7600,"Orl@Ind 07:00PM ET",35.200,"Orl"
"SG","Victor Oladipo",7600,"Orl@Ind 07:00PM ET",38.536,"Orl"
"PG","Ricky Rubio",7500,"Min@Atl 08:00PM ET",37.550,"Min"
"PG","Reggie Jackson",7400,"Det@GS 10:30PM ET",35.650,"Det"
"C","Karl-Anthony Towns",7400,"Min@Atl 08:00PM ET",35.600,"Min"
"PF","Pau Gasol",7300,"Chi@Phi 07:00PM ET",33.607,"Chi"
"SF","Rudy Gay",7200,"SA@Sac 10:00PM ET",31.429,"Sac"
"C","Al Horford",7100,"Min@Atl 08:00PM ET",36.375,"Atl"
"PF","Nerlens Noel",7000,"Chi@Phi 07:00PM ET",32.875,"Phi"
"PF","LaMarcus Aldridge",6900,"SA@Sac 10:00PM ET",31.208,"SA"
"C","Marc Gasol",6900,"Mem@LAC 10:30PM ET",26.250,"Mem"
"PF","Draymond Green",6800,"Det@GS 10:30PM ET",33.250,"GS"
"PG","Jeff Teague",6700,"Min@Atl 08:00PM ET",34.188,"Atl"
"SG","Klay Thompson",6600,"Det@GS 10:30PM ET",27.179,"GS"
"PG","Rajon Rondo",6500,"SA@Sac 10:00PM ET",34.143,"Sac"
"SG","C.J. McCollum",6500,"Por@Den 09:00PM ET",35.417,"Por"
"PF","Kenneth Faried",6400,"Por@Den 09:00PM ET",30.083,"Den"
"PF","Nikola Mirotic",6400,"Chi@Phi 07:00PM ET",22.679,"Chi"
"C","Jahlil Okafor",6300,"Chi@Phi 07:00PM ET",30.042,"Phi"
"SF","Marcus Morris",6200,"Det@GS 10:30PM ET",32.000,"Det"
"PF","Zach Randolph",6100,"Mem@LAC 10:30PM ET",25.929,"Mem"
"PG","Mike Conley",6100,"Mem@LAC 10:30PM ET",28.036,"Mem"
"SF","Danilo Gallinari",6100,"Por@Den 09:00PM ET",30.292,"Den"
"SF","Al-Farouq Aminu",6100,"Por@Den 09:00PM ET",30.500,"Por"
"PF","Tim Duncan",6000,"SA@Sac 10:00PM ET",28.625,"SA"
"SF","Evan Fournier",6000,"Orl@Ind 07:00PM ET",29.964,"Orl"
"SF","Andrew Wiggins",6000,"Min@Atl 08:00PM ET",24.600,"Min"
"PG","Emmanuel Mudiay",6000,"Por@Den 09:00PM ET",27.667,"Den"
"PG","George Hill",5900,"Orl@Ind 07:00PM ET",29.083,"Ind"
"SF","Tobias Harris",5900,"Orl@Ind 07:00PM ET",30.214,"Orl"
"PG","Derrick Rose",5800,"Chi@Phi 07:00PM ET",24.714,"Chi"
"PG","Elfrid Payton",5800,"Orl@Ind 07:00PM ET",24.143,"Orl"
"SG","Monta Ellis",5600,"Orl@Ind 07:00PM ET",24.167,"Ind"
"SF","Wilson Chandler",5500,"Por@Den 09:00PM ET",0,"Den"
"C","Mason Plumlee",5400,"Por@Den 09:00PM ET",26.917,"Por"
"C","Jusuf Nurkic",5400,"Por@Den 09:00PM ET",0,"Den"
"PG","T.J. McConnell",5300,"Chi@Phi 07:00PM ET",25.917,"Phi"
"SF","Harrison Barnes",5200,"Det@GS 10:30PM ET",25.786,"GS"
"SG","Kentavious Caldwell-Pope",5000,"Det@GS 10:30PM ET",24.800,"Det"
"SG","Kent Bazemore",4900,"Min@Atl 08:00PM ET",26.750,"Atl"
"C","Festus Ezeli",4900,"Det@GS 10:30PM ET",24.679,"GS"
"PG","Tony Wroten",4900,"Chi@Phi 07:00PM ET",0,"Phi"
"SG","Kevin Martin",4800,"Min@Atl 08:00PM ET",22.313,"Min"
"C","Joakim Noah",4800,"Chi@Phi 07:00PM ET",18.500,"Chi"
"PG","Darren Collison",4800,"SA@Sac 10:00PM ET",26.375,"Sac"
"C","Kosta Koufos",4800,"SA@Sac 10:00PM ET",23.357,"Sac"
"SG","Nik Stauskas",4800,"Chi@Phi 07:00PM ET",25.300,"Phi"
"C","Andrew Bogut",4700,"Det@GS 10:30PM ET",29.750,"GS"
"SF","Robert Covington",4700,"Chi@Phi 07:00PM ET",11.500,"Phi"
"SG","Will Barton",4700,"Por@Den 09:00PM ET",25.875,"Den"
"SG","Kyle Korver",4600,"Min@Atl 08:00PM ET",23.208,"Atl"
"SF","Andre Iguodala",4600,"Det@GS 10:30PM ET",23.929,"GS"
"PF","Jordan Hill",4600,"Orl@Ind 07:00PM ET",22.000,"Ind"
"C","Dewayne Dedmon",4600,"Orl@Ind 07:00PM ET",19.750,"Orl"
"PG","Denis Schroder",4600,"Min@Atl 08:00PM ET",22.281,"Atl"
"SG","J.J. Redick",4500,"Mem@LAC 10:30PM ET",21.542,"LAC"
"PG","Tony Parker",4400,"SA@Sac 10:00PM ET",18.750,"SA"
"PF","Ed Davis",4400,"Por@Den 09:00PM ET",19.708,"Por"
"SG","Danny Green",4300,"SA@Sac 10:00PM ET",19.125,"SA"
"PG","Isaiah Canaan",4300,"Chi@Phi 07:00PM ET",22.250,"Phi"
"PF","Nemanja Bjelica",4300,"Min@Atl 08:00PM ET",24.100,"Min"
"C","Gorgui Dieng",4300,"Min@Atl 08:00PM ET",16.050,"Min"
"SG","Manu Ginóbili",4200,"SA@Sac 10:00PM ET",24.333,"SA"
"PF","Ersan Ilyasova",4200,"Det@GS 10:30PM ET",17.600,"Det"
"SG","Marco Belinelli",4200,"SA@Sac 10:00PM ET",19.571,"Sac"
"PG","Brandon Jennings",4200,"Det@GS 10:30PM ET",0,"Det"
"SF","Omri Casspi",4200,"SA@Sac 10:00PM ET",20.964,"Sac"
"C","Joffrey Lauvergne",4200,"Por@Den 09:00PM ET",23.083,"Den"
"SG","C.J. Miles",4100,"Orl@Ind 07:00PM ET",21.438,"Ind"
"SG","Gerald Henderson",4100,"Por@Den 09:00PM ET",0,"Por"
"SF","Aaron Gordon",4100,"Orl@Ind 07:00PM ET",19.821,"Orl"
"SG","Courtney Lee",4000,"Mem@LAC 10:30PM ET",18.643,"Mem"
"PF","J.J. Hickson",4000,"Por@Den 09:00PM ET",12.500,"Den"
"C","Willie Cauley-Stein",4000,"SA@Sac 10:00PM ET",19.321,"Sac"
"C","Meyers Leonard",3900,"Por@Den 09:00PM ET",16.000,"Por"
"SF","Jerami Grant",3900,"Chi@Phi 07:00PM ET",20.667,"Phi"
"PG","Jameer Nelson",3800,"Por@Den 09:00PM ET",19.583,"Den"
"SF","Tony Allen",3800,"Mem@LAC 10:30PM ET",17.250,"Mem"
"SG","Rodney Stuckey",3800,"Orl@Ind 07:00PM ET",18.750,"Ind"
"C","Ian Mahinmi",3800,"Orl@Ind 07:00PM ET",18.800,"Ind"
"PF","Josh Smith",3700,"Mem@LAC 10:30PM ET",14.375,"LAC"
"SG","Hollis Thompson",3700,"Chi@Phi 07:00PM ET",19.000,"Phi"
"SG","Jamal Crawford",3600,"Mem@LAC 10:30PM ET",15.667,"LAC"
"PG","Aaron Brooks",3600,"Chi@Phi 07:00PM ET",15.643,"Chi"
"SF","Maurice Harkless",3600,"Por@Den 09:00PM ET",19.333,"Por"
"PG","Zach LaVine",3600,"Min@Atl 08:00PM ET",15.850,"Min"
"SF","Paul Pierce",3500,"Mem@LAC 10:30PM ET",15.958,"LAC"
"SF","Jeff Green",3500,"Mem@LAC 10:30PM ET",15.107,"Mem"
"SF","Matt Barnes",3400,"Mem@LAC 10:30PM ET",16.250,"Mem"
"PF","Taj Gibson",3400,"Chi@Phi 07:00PM ET",15.143,"Chi"
"C","Tiago Splitter",3400,"Min@Atl 08:00PM ET",15.429,"Atl"
"C","Nikola Pekovic",3400,"Min@Atl 08:00PM ET",0,"Min"
"SG","Gary Harris",3400,"Por@Den 09:00PM ET",17.833,"Den"
"SG","Tony Snell",3300,"Chi@Phi 07:00PM ET",14.857,"Chi"
"SF","Kostas Papanikolaou",3300,"Por@Den 09:00PM ET",0.625,"Den"
"SF","Shabazz Muhammad",3300,"Min@Atl 08:00PM ET",12.300,"Min"
"C","Myles Turner",3300,"Orl@Ind 07:00PM ET",14.600,"Ind"
"PF","Kevin Garnett",3200,"Min@Atl 08:00PM ET",11.550,"Min"
"PF","Brandan Wright",3200,"Mem@LAC 10:30PM ET",14.571,"Mem"
"SF","Lance Stephenson",3200,"Mem@LAC 10:30PM ET",15.083,"LAC"
"SF","Doug McDermott",3200,"Chi@Phi 07:00PM ET",15.107,"Chi"
"PG","C.J. Watson",3100,"Orl@Ind 07:00PM ET",14.857,"Orl"
"C","Marreese Speights",3100,"Det@GS 10:30PM ET",13.821,"GS"
"SG","Vince Carter",3000,"Mem@LAC 10:30PM ET",6.250,"Mem"
"PG","Andre Miller",3000,"Min@Atl 08:00PM ET",3.500,"Min"
"SG","Mike Miller",3000,"Por@Den 09:00PM ET",3.833,"Den"
"PF","Matt Bonner",3000,"SA@Sac 10:00PM ET",0,"SA"
"PG","Kirk Hinrich",3000,"Chi@Phi 07:00PM ET",1.500,"Chi"
"PF","David West",3000,"SA@Sac 10:00PM ET",10.750,"SA"
"PG","Steve Blake",3000,"Det@GS 10:30PM ET",10.600,"Det"
"C","Chris Kaman",3000,"Por@Den 09:00PM ET",0.000,"Por"
"PF","Channing Frye",3000,"Orl@Ind 07:00PM ET",6.875,"Orl"
"SF","Caron Butler",3000,"SA@Sac 10:00PM ET",4.950,"Sac"
"SF","Tayshaun Prince",3000,"Min@Atl 08:00PM ET",8.650,"Min"
"SG","Rasual Butler",3000,"SA@Sac 10:00PM ET",6.450,"SA"
"SF","Mike Dunleavy",3000,"Chi@Phi 07:00PM ET",0,"Chi"
"PG","Randy Foye",3000,"Por@Den 09:00PM ET",8.458,"Den"
"PF","Boris Diaw",3000,"SA@Sac 10:00PM ET",15.792,"SA"
"PG","Leandro Barbosa",3000,"Det@GS 10:30PM ET",12.071,"GS"
"PF","Anthony Tolliver",3000,"Det@GS 10:30PM ET",10.875,"Det"
"PG","Shaun Livingston",3000,"Det@GS 10:30PM ET",11.036,"GS"
