"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10500,"Orl@NO 08:00PM ET",44.917,"NO"
"C","DeMarcus Cousins",9800,"Mem@Sac 10:00PM ET",41.917,"Sac"
"C","Andre Drummond",8200,"Ind@Det 07:30PM ET",47.917,"Det"
"SF","Paul George",8100,"Ind@Det 07:30PM ET",36.750,"Ind"
"PF","Paul Millsap",8000,"Atl@Mia 07:30PM ET",39.688,"Atl"
"PG","Kyle Lowry",7900,"Tor@Dal 08:30PM ET",40.917,"Tor"
"C","Marc Gasol",7800,"Mem@Sac 10:00PM ET",25.875,"Mem"
"C","Nikola Vucevic",7700,"Orl@NO 08:00PM ET",38.417,"Orl"
"SG","Jimmy Butler",7700,"Chi@Cha 07:00PM ET",39.500,"Chi"
"C","Al Horford",7600,"Atl@Mia 07:30PM ET",37.438,"Atl"
"PG","Reggie Jackson",7500,"Ind@Det 07:30PM ET",35.250,"Det"
"SG","Victor Oladipo",7500,"Orl@NO 08:00PM ET",46.083,"Orl"
"SF","Rudy Gay",7400,"Mem@Sac 10:00PM ET",33.750,"Sac"
"SG","DeMar DeRozan",7400,"Tor@Dal 08:30PM ET",37.583,"Tor"
"C","Hassan Whiteside",7300,"Atl@Mia 07:30PM ET",35.333,"Mia"
"PF","Pau Gasol",7200,"Chi@Cha 07:00PM ET",31.813,"Chi"
"PF","Chris Bosh",7100,"Atl@Mia 07:30PM ET",31.917,"Mia"
"SG","Dwyane Wade",7000,"Atl@Mia 07:30PM ET",36.417,"Mia"
"PG","Kemba Walker",7000,"Chi@Cha 07:00PM ET",34.000,"Cha"
"C","Al Jefferson",6900,"Chi@Cha 07:00PM ET",29.500,"Cha"
"SG","Tyreke Evans",6900,"Orl@NO 08:00PM ET",0,"NO"
"PF","Zach Randolph",6800,"Mem@Sac 10:00PM ET",21.625,"Mem"
"PG","Mike Conley",6800,"Mem@Sac 10:00PM ET",30.125,"Mem"
"SF","Nicolas Batum",6800,"Chi@Cha 07:00PM ET",32.667,"Cha"
"PF","Nikola Mirotic",6700,"Chi@Cha 07:00PM ET",32.063,"Chi"
"SG","Kobe Bryant",6600,"Den@LAL 10:30PM ET",26.917,"LAL"
"PF","Dirk Nowitzki",6600,"Tor@Dal 08:30PM ET",34.083,"Dal"
"PG","Jeff Teague",6600,"Atl@Mia 07:30PM ET",30.188,"Atl"
"SG","Monta Ellis",6500,"Ind@Det 07:30PM ET",21.000,"Ind"
"SF","Danilo Gallinari",6400,"Den@LAL 10:30PM ET",27.667,"Den"
"PF","Kenneth Faried",6300,"Den@LAL 10:30PM ET",27.833,"Den"
