"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10600,"GS@Min 08:00PM ET",54.333,"GS"
"PF","Blake Griffin",9400,"LAC@Pho 10:30PM ET",47.844,"LAC"
"PG","Chris Paul",8600,"LAC@Pho 10:30PM ET",34.464,"LAC"
"C","Hassan Whiteside",8100,"Uta@Mia 07:30PM ET",38.656,"Mia"
"SG","Eric Bledsoe",8000,"LAC@Pho 10:30PM ET",40.321,"Pho"
"C","DeAndre Jordan",7700,"LAC@Pho 10:30PM ET",35.188,"LAC"
"PG","Ricky Rubio",7600,"GS@Min 08:00PM ET",36.000,"Min"
"C","Karl-Anthony Towns",7500,"GS@Min 08:00PM ET",37.821,"Min"
"PF","Chris Bosh",7200,"Uta@Mia 07:30PM ET",37.531,"Mia"
"PF","Derrick Favors",7100,"Uta@Mia 07:30PM ET",34.464,"Uta"
"PG","Brandon Knight",7000,"LAC@Pho 10:30PM ET",33.571,"Pho"
"PF","Draymond Green",6900,"GS@Min 08:00PM ET",33.306,"GS"
"C","Rudy Gobert",6800,"Uta@Mia 07:30PM ET",33.464,"Uta"
"SG","Klay Thompson",6700,"GS@Min 08:00PM ET",27.750,"GS"
"SG","Andrew Wiggins",6400,"GS@Min 08:00PM ET",28.375,"Min"
"SF","Gordon Hayward",6300,"Uta@Mia 07:30PM ET",26.107,"Uta"
"SG","Dwyane Wade",6200,"Uta@Mia 07:30PM ET",30.656,"Mia"
"PF","Markieff Morris",5900,"LAC@Pho 10:30PM ET",25.071,"Pho"
"C","Tyson Chandler",5400,"LAC@Pho 10:30PM ET",24.071,"Pho"
"PG","Goran Dragic",5400,"Uta@Mia 07:30PM ET",21.188,"Mia"
"SF","Harrison Barnes",5200,"GS@Min 08:00PM ET",25.944,"GS"
"SG","Alec Burks",5000,"Uta@Mia 07:30PM ET",25.464,"Uta"
"SF","Andre Iguodala",4800,"GS@Min 08:00PM ET",23.778,"GS"
"C","Andrew Bogut",4700,"GS@Min 08:00PM ET",21.083,"GS"
"PF","Nemanja Bjelica",4700,"GS@Min 08:00PM ET",25.000,"Min"
"SF","Rodney Hood",4700,"Uta@Mia 07:30PM ET",23.036,"Uta"
"SG","Kevin Martin",4600,"GS@Min 08:00PM ET",22.250,"Min"
"C","Festus Ezeli",4600,"GS@Min 08:00PM ET",22.278,"GS"
"PG","Trey Burke",4500,"Uta@Mia 07:30PM ET",21.429,"Uta"
"SG","J.J. Redick",4400,"LAC@Pho 10:30PM ET",20.156,"LAC"
"SF","Luol Deng",4300,"Uta@Mia 07:30PM ET",19.813,"Mia"
"SF","Justise Winslow",4000,"Uta@Mia 07:30PM ET",16.594,"Mia"
"SG","Gerald Green",3800,"Uta@Mia 07:30PM ET",12.333,"Mia"
"C","Gorgui Dieng",3800,"GS@Min 08:00PM ET",14.714,"Min"
"PF","Josh Smith",3600,"LAC@Pho 10:30PM ET",14.500,"LAC"
"SG","Jamal Crawford",3500,"LAC@Pho 10:30PM ET",15.219,"LAC"
"SF","T.J. Warren",3500,"LAC@Pho 10:30PM ET",16.321,"Pho"
"PG","Zach LaVine",3500,"GS@Min 08:00PM ET",21.393,"Min"
"SF","Paul Pierce",3400,"LAC@Pho 10:30PM ET",15.250,"LAC"
"SF","P.J. Tucker",3400,"LAC@Pho 10:30PM ET",13.286,"Pho"
"SG","Tyler Johnson",3300,"Uta@Mia 07:30PM ET",15.643,"Mia"
"PF","Kevin Garnett",3200,"GS@Min 08:00PM ET",12.458,"Min"
"PG","Leandro Barbosa",3200,"GS@Min 08:00PM ET",12.611,"GS"
"C","Nikola Pekovic",3200,"GS@Min 08:00PM ET",0,"Min"
"SF","Lance Stephenson",3200,"LAC@Pho 10:30PM ET",13.156,"LAC"
"SG","Austin Rivers",3100,"LAC@Pho 10:30PM ET",14.313,"LAC"
"SF","Shabazz Muhammad",3100,"GS@Min 08:00PM ET",10.357,"Min"
"PG","Andre Miller",3000,"GS@Min 08:00PM ET",2.167,"Min"
"C","Chris Andersen",3000,"Uta@Mia 07:30PM ET",3.500,"Mia"
"PG","Ronnie Price",3000,"LAC@Pho 10:30PM ET",10.500,"Pho"
"PF","Amar'e Stoudemire",3000,"Uta@Mia 07:30PM ET",5.750,"Mia"
"SF","Tayshaun Prince",3000,"GS@Min 08:00PM ET",9.321,"Min"
"PF","Udonis Haslem",3000,"Uta@Mia 07:30PM ET",5.500,"Mia"
"PG","Shaun Livingston",3000,"GS@Min 08:00PM ET",11.028,"GS"
"PG","Beno Udrih",3000,"Uta@Mia 07:30PM ET",12.719,"Mia"
"PF","Jason Thompson",3000,"GS@Min 08:00PM ET",6.650,"GS"
"SF","Luc Richard Mbah a Moute",3000,"LAC@Pho 10:30PM ET",0.792,"LAC"
"PF","Josh McRoberts",3000,"Uta@Mia 07:30PM ET",9.313,"Mia"
"SG","Brandon Rush",3000,"GS@Min 08:00PM ET",6.000,"GS"
"SF","Wesley Johnson",3000,"LAC@Pho 10:30PM ET",8.031,"LAC"
"C","Marreese Speights",3000,"GS@Min 08:00PM ET",11.889,"GS"
"PF","Trevor Booker",3000,"Uta@Mia 07:30PM ET",13.208,"Uta"
"SG","Sonny Weems",3000,"LAC@Pho 10:30PM ET",4.875,"Pho"
"SG","Elijah Millsap",3000,"Uta@Mia 07:30PM ET",1.600,"Uta"
"PF","Jon Leuer",3000,"LAC@Pho 10:30PM ET",14.964,"Pho"
"C","Cole Aldrich",3000,"LAC@Pho 10:30PM ET",0.750,"LAC"
"C","Jeff Withey",3000,"Uta@Mia 07:30PM ET",0.000,"Uta"
"SF","Chris Johnson",3000,"Uta@Mia 07:30PM ET",3.150,"Uta"
"SG","Ian Clark",3000,"GS@Min 08:00PM ET",6.250,"GS"
"SG","C.J. Wilcox",3000,"LAC@Pho 10:30PM ET",0,"LAC"
"PF","Cory Jefferson",3000,"LAC@Pho 10:30PM ET",0,"Pho"
"C","Tibor Pleiss",3000,"Uta@Mia 07:30PM ET",1.625,"Uta"
"PG","Pablo Prigioni",3000,"LAC@Pho 10:30PM ET",2.417,"LAC"
"SG","Joe Ingles",3000,"Uta@Mia 07:30PM ET",11.929,"Uta"
"PF","Adreian Payne",3000,"GS@Min 08:00PM ET",10.688,"Min"
"SG","Josh Richardson",3000,"Uta@Mia 07:30PM ET",2.750,"Mia"
"SF","Branden Dawson",3000,"LAC@Pho 10:30PM ET",0,"LAC"
"PF","James Michael McAdoo",3000,"GS@Min 08:00PM ET",4.938,"GS"
"C","Alex Len",3000,"LAC@Pho 10:30PM ET",14.964,"Pho"
"PF","Jarnell Stokes",3000,"Uta@Mia 07:30PM ET",1.250,"Mia"
"SF","Mirza Teletovic",3000,"LAC@Pho 10:30PM ET",5.036,"Pho"
"SG","Archie Goodwin",3000,"LAC@Pho 10:30PM ET",8.125,"Pho"
"PG","Raul Neto",3000,"Uta@Mia 07:30PM ET",10.964,"Uta"
"PG","Dante Exum",3000,"Uta@Mia 07:30PM ET",0,"Uta"
"SF","Damjan Rudez",3000,"GS@Min 08:00PM ET",3.000,"Min"
"PG","Tyus Jones",3000,"GS@Min 08:00PM ET",5.750,"Min"
"SG","Devin Booker",3000,"LAC@Pho 10:30PM ET",7.563,"Pho"
"PF","Trey Lyles",3000,"Uta@Mia 07:30PM ET",4.000,"Uta"
"PF","Kevon Looney",3000,"GS@Min 08:00PM ET",0,"GS"
