"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12200,"NO@OKC 08:00PM ET",57.659,"OKC"
"PF","Anthony Davis",10800,"NO@OKC 08:00PM ET",43.167,"NO"
"PF","DeMarcus Cousins",10300,"Sac@Atl 08:00PM ET",49.107,"Sac"
"SG","James Harden",10100,"Por@Hou 08:00PM ET",47.500,"Hou"
"SF","Kevin Durant",9900,"NO@OKC 08:00PM ET",46.438,"OKC"
"PG","Damian Lillard",8800,"Por@Hou 08:00PM ET",43.917,"Por"
"PG","Rajon Rondo",8700,"Sac@Atl 08:00PM ET",39.500,"Sac"
"SF","Kawhi Leonard",8200,"Den@SA 08:30PM ET",40.250,"SA"
"PF","Paul Millsap",8000,"Sac@Atl 08:00PM ET",39.827,"Atl"
"C","Dwight Howard",7500,"Por@Hou 08:00PM ET",37.429,"Hou"
"C","Al Horford",7200,"Sac@Atl 08:00PM ET",36.577,"Atl"
"PF","LaMarcus Aldridge",7100,"Den@SA 08:30PM ET",31.700,"SA"
"PG","Jeff Teague",7000,"Sac@Atl 08:00PM ET",33.409,"Atl"
"SF","Rudy Gay",6900,"Sac@Atl 08:00PM ET",29.205,"Sac"
"PF","Serge Ibaka",6900,"NO@OKC 08:00PM ET",32.477,"OKC"
"SG","Tyreke Evans",6800,"NO@OKC 08:00PM ET",0,"NO"
"SG","C.J. McCollum",6500,"Por@Hou 08:00PM ET",31.146,"Por"
"SG","Eric Gordon",6400,"NO@OKC 08:00PM ET",30.182,"NO"
"SF","Danilo Gallinari",6300,"Den@SA 08:30PM ET",31.364,"Den"
"C","Tim Duncan",6200,"Den@SA 08:30PM ET",29.425,"SA"
"PF","Terrence Jones",6200,"Por@Hou 08:00PM ET",26.375,"Hou"
"PF","Kenneth Faried",6100,"Den@SA 08:30PM ET",28.955,"Den"
"PG","Emmanuel Mudiay",6100,"Den@SA 08:30PM ET",29.432,"Den"
"SF","Al-Farouq Aminu",6000,"Por@Hou 08:00PM ET",27.271,"Por"
"PF","Ryan Anderson",5900,"NO@OKC 08:00PM ET",29.205,"NO"
"SF","Trevor Ariza",5600,"Por@Hou 08:00PM ET",26.091,"Hou"
"SF","Wilson Chandler",5500,"Den@SA 08:30PM ET",0,"Den"
"PG","Ish Smith",5500,"NO@OKC 08:00PM ET",28.000,"NO"
"C","Mason Plumlee",5500,"Por@Hou 08:00PM ET",26.208,"Por"
"SF","Marcus Thornton",5400,"Por@Hou 08:00PM ET",24.972,"Hou"
"SF","Kent Bazemore",5400,"Sac@Atl 08:00PM ET",25.396,"Atl"
"C","Jusuf Nurkic",5400,"Den@SA 08:30PM ET",0,"Den"
"PG","Ty Lawson",5300,"Por@Hou 08:00PM ET",23.864,"Hou"
"C","Enes Kanter",5200,"NO@OKC 08:00PM ET",24.591,"OKC"
"SG","Will Barton",5100,"Den@SA 08:30PM ET",27.636,"Den"
"PG","Jrue Holiday",5000,"NO@OKC 08:00PM ET",22.719,"NO"
"PG","Dennis Schroder",4900,"Sac@Atl 08:00PM ET",23.365,"Atl"
"PG","Darren Collison",4800,"Sac@Atl 08:00PM ET",26.375,"Sac"
"C","Clint Capela",4700,"Por@Hou 08:00PM ET",20.318,"Hou"
"SG","Dion Waiters",4600,"NO@OKC 08:00PM ET",19.841,"OKC"
"PF","Donatas Motiejunas",4600,"Por@Hou 08:00PM ET",0,"Hou"
"SG","Kyle Korver",4500,"Sac@Atl 08:00PM ET",20.682,"Atl"
"SF","Omri Casspi",4400,"Sac@Atl 08:00PM ET",21.614,"Sac"
"SG","Manu Ginóbili",4300,"Den@SA 08:30PM ET",24.500,"SA"
"PG","Tony Parker",4300,"Den@SA 08:30PM ET",20.050,"SA"
"SG","Marco Belinelli",4300,"Sac@Atl 08:00PM ET",19.114,"Sac"
"PF","J.J. Hickson",4300,"Den@SA 08:30PM ET",15.725,"Den"
"SG","Danny Green",4200,"Den@SA 08:30PM ET",18.250,"SA"
"C","Meyers Leonard",4200,"Por@Hou 08:00PM ET",18.056,"Por"
"C","Joffrey Lauvergne",4200,"Den@SA 08:30PM ET",23.083,"Den"
"PF","Ed Davis",4100,"Por@Hou 08:00PM ET",18.646,"Por"
"C","Steven Adams",3900,"NO@OKC 08:00PM ET",19.386,"OKC"
"C","Kosta Koufos",3800,"Sac@Atl 08:00PM ET",19.341,"Sac"
"PG","Jameer Nelson",3700,"Den@SA 08:30PM ET",19.861,"Den"
"SF","Thabo Sefolosha",3700,"Sac@Atl 08:00PM ET",18.825,"Atl"
"PG","Toney Douglas",3600,"NO@OKC 08:00PM ET",16.833,"NO"
"C","Omer Asik",3600,"NO@OKC 08:00PM ET",8.500,"NO"
"SF","Corey Brewer",3500,"Por@Hou 08:00PM ET",14.295,"Hou"
"SF","Maurice Harkless",3500,"Por@Hou 08:00PM ET",14.458,"Por"
"C","Willie Cauley-Stein",3500,"Sac@Atl 08:00PM ET",16.795,"Sac"
"SG","Gary Harris",3400,"Den@SA 08:30PM ET",17.659,"Den"
"PF","Boris Diaw",3300,"Den@SA 08:30PM ET",17.150,"SA"
