"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10600,"Mem@NO 08:00PM ET",46.411,"NO"
"SF","LeBron James",9700,"Was@Cle 07:00PM ET",48.265,"Cle"
"PG","Damian Lillard",9200,"Dal@Por 10:00PM ET",42.764,"Por"
"PF","Kevin Love",8600,"Was@Cle 07:00PM ET",41.412,"Cle"
"SG","Eric Bledsoe",8300,"Pho@Bkn 07:30PM ET",41.234,"Pho"
"PG","Brandon Knight",7900,"Pho@Bkn 07:30PM ET",39.559,"Pho"
"PG","John Wall",7800,"Was@Cle 07:00PM ET",36.911,"Was"
"C","Brook Lopez",7400,"Pho@Bkn 07:30PM ET",38.456,"Bkn"
"SG","Andrew Wiggins",7400,"Orl@Min 08:00PM ET",31.328,"Min"
"PF","Thaddeus Young",7100,"Pho@Bkn 07:30PM ET",32.735,"Bkn"
"C","Marc Gasol",7100,"Mem@NO 08:00PM ET",32.139,"Mem"
"PG","Ish Smith",6900,"Mem@NO 08:00PM ET",32.162,"NO"
"PG","Ricky Rubio",6900,"Orl@Min 08:00PM ET",32.273,"Min"
"C","Karl-Anthony Towns",6900,"Orl@Min 08:00PM ET",32.985,"Min"
"SG","Tyreke Evans",6800,"Mem@NO 08:00PM ET",0,"NO"
"PG","Mike Conley",6700,"Mem@NO 08:00PM ET",31.542,"Mem"
"SF","Robert Covington",6700,"LAL@Phi 07:00PM ET",31.417,"Phi"
"PG","Kyrie Irving",6700,"Was@Cle 07:00PM ET",0,"Cle"
"SG","Bradley Beal",6700,"Was@Cle 07:00PM ET",31.659,"Was"
"PF","Dirk Nowitzki",6600,"Dal@Por 10:00PM ET",31.191,"Dal"
"C","Nikola Vucevic",6600,"Orl@Min 08:00PM ET",32.643,"Orl"
"SG","C.J. McCollum",6600,"Dal@Por 10:00PM ET",31.972,"Por"
"SG","Victor Oladipo",6600,"Orl@Min 08:00PM ET",31.933,"Orl"
"C","Jahlil Okafor",6600,"LAL@Phi 07:00PM ET",32.528,"Phi"
"PF","Ryan Anderson",6500,"Mem@NO 08:00PM ET",30.882,"NO"
"PG","Deron Williams",6300,"Dal@Por 10:00PM ET",29.103,"Dal"
"SF","Evan Fournier",6300,"Orl@Min 08:00PM ET",28.559,"Orl"
"PF","Zach Randolph",6200,"Mem@NO 08:00PM ET",29.481,"Mem"
"SF","Tobias Harris",6200,"Orl@Min 08:00PM ET",31.015,"Orl"
"PG","Jarrett Jack",6100,"Pho@Bkn 07:30PM ET",31.281,"Bkn"
"PG","Elfrid Payton",6100,"Orl@Min 08:00PM ET",27.662,"Orl"
"PF","Julius Randle",6100,"LAL@Phi 07:00PM ET",27.844,"LAL"
"C","Zaza Pachulia",6000,"Dal@Por 10:00PM ET",28.778,"Dal"
"SG","Eric Gordon",6000,"Mem@NO 08:00PM ET",28.279,"NO"
"SF","Al-Farouq Aminu",6000,"Dal@Por 10:00PM ET",26.694,"Por"
