"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10700,"Cle@NO 09:30PM ET",47.906,"NO"
"SG","James Harden",10500,"Hou@Dal 08:30PM ET",52.566,"Hou"
"SF","LeBron James",10000,"Cle@NO 09:30PM ET",48.208,"Cle"
"C","Andre Drummond",9000,"Mil@Det 07:30PM ET",47.618,"Det"
"PF","Kevin Love",8600,"Cle@NO 09:30PM ET",40.222,"Cle"
"PF","Paul Millsap",8300,"LAL@Atl 08:00PM ET",41.750,"Atl"
"PG","John Wall",8300,"Pho@Was 07:00PM ET",40.375,"Was"
"SG","Eric Bledsoe",8200,"Pho@Was 07:00PM ET",41.014,"Pho"
"PF","Kristaps Porzingis",8100,"Bkn@NY 07:00PM ET",32.645,"NY"
"SF","Carmelo Anthony",8000,"Bkn@NY 07:00PM ET",36.237,"NY"
"PG","Brandon Knight",7700,"Pho@Was 07:00PM ET",39.197,"Pho"
"C","Brook Lopez",7600,"Bkn@NY 07:00PM ET",38.236,"Bkn"
"PG","Reggie Jackson",7500,"Mil@Det 07:30PM ET",36.947,"Det"
"PF","Thaddeus Young",7100,"Bkn@NY 07:00PM ET",31.750,"Bkn"
"C","Dwight Howard",7000,"Hou@Dal 08:30PM ET",35.429,"Hou"
"PF","Dirk Nowitzki",6900,"Hou@Dal 08:30PM ET",32.083,"Dal"
"C","Greg Monroe",6900,"Mil@Det 07:30PM ET",35.408,"Mil"
"SG","Bradley Beal",6900,"Pho@Was 07:00PM ET",31.923,"Was"
"SG","Tyreke Evans",6800,"Cle@NO 09:30PM ET",38.625,"NO"
"C","Al Horford",6700,"LAL@Atl 08:00PM ET",33.726,"Atl"
"PG","Jeff Teague",6700,"LAL@Atl 08:00PM ET",32.486,"Atl"
"PG","Kyrie Irving",6700,"Cle@NO 09:30PM ET",0,"Cle"
"SF","Giannis Antetokounmpo",6700,"Mil@Det 07:30PM ET",30.806,"Mil"
"PG","Deron Williams",6600,"Hou@Dal 08:30PM ET",30.486,"Dal"
"PG","Ish Smith",6600,"Cle@NO 09:30PM ET",30.053,"NO"
"PG","Jarrett Jack",6300,"Bkn@NY 07:00PM ET",31.353,"Bkn"
"C","Zaza Pachulia",6300,"Hou@Dal 08:30PM ET",29.697,"Dal"
"PF","Ryan Anderson",6300,"Cle@NO 09:30PM ET",31.079,"NO"
"PF","Julius Randle",6200,"LAL@Atl 08:00PM ET",29.028,"LAL"
"SF","Marcus Morris",6100,"Mil@Det 07:30PM ET",28.658,"Det"
"SG","Kobe Bryant",5900,"LAL@Atl 08:00PM ET",28.633,"LAL"
"C","Marcin Gortat",5800,"Pho@Was 07:00PM ET",28.484,"Was"
"SG","Jordan Clarkson",5800,"LAL@Atl 08:00PM ET",26.208,"LAL"
"PF","Tristan Thompson",5800,"Cle@NO 09:30PM ET",24.056,"Cle"
"C","Clint Capela",5800,"Hou@Dal 08:30PM ET",21.750,"Hou"
"SG","Eric Gordon",5700,"Cle@NO 09:30PM ET",26.974,"NO"
"PF","Markieff Morris",5700,"Pho@Was 07:00PM ET",23.313,"Pho"
"SG","Khris Middleton",5700,"Mil@Det 07:30PM ET",25.947,"Mil"
