"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10600,"NO@Dal 08:30PM ET",43.125,"NO"
"PG","Stephen Curry",10400,"GS@Sac 10:00PM ET",57.550,"GS"
"SG","James Harden",10000,"Hou@LAC 10:30PM ET",43.850,"Hou"
"C","DeMarcus Cousins",9800,"GS@Sac 10:00PM ET",41.917,"Sac"
"PF","Blake Griffin",9600,"Hou@LAC 10:30PM ET",48.250,"LAC"
"PG","Chris Paul",9100,"Hou@LAC 10:30PM ET",37.200,"LAC"
"PG","John Wall",9000,"Was@Atl 07:30PM ET",46.313,"Was"
"PF","Greg Monroe",8500,"Bkn@Mil 08:30PM ET",41.800,"Mil"
"SF","Kawhi Leonard",7900,"Cha@SA 08:30PM ET",41.300,"SA"
"C","DeAndre Jordan",7800,"Hou@LAC 10:30PM ET",36.350,"LAC"
"SG","Victor Oladipo",7700,"Orl@Phi 07:00PM ET",40.050,"Orl"
"PF","Paul Millsap",7600,"Was@Atl 07:30PM ET",39.083,"Atl"
"C","Nikola Vucevic",7600,"Orl@Phi 07:00PM ET",35.200,"Orl"
"SF","Rudy Gay",7500,"GS@Sac 10:00PM ET",32.300,"Sac"
"C","Al Horford",7300,"Was@Atl 07:30PM ET",38.417,"Atl"
"SF","Giannis Antetokounmpo",7300,"Bkn@Mil 08:30PM ET",37.563,"Mil"
"C","Rudy Gobert",7200,"Mem@Uta 09:00PM ET",33.250,"Uta"
"PF","Draymond Green",7100,"GS@Sac 10:00PM ET",32.450,"GS"
"PF","Derrick Favors",7100,"Mem@Uta 09:00PM ET",32.800,"Uta"
"C","Dwight Howard",7000,"Hou@LAC 10:30PM ET",34.583,"Hou"
"PF","LaMarcus Aldridge",7000,"Cha@SA 08:30PM ET",32.500,"SA"
"C","Marc Gasol",7000,"Mem@Uta 09:00PM ET",24.625,"Mem"
"PF","Nerlens Noel",7000,"Orl@Phi 07:00PM ET",35.063,"Phi"
"C","Brook Lopez",6900,"Bkn@Mil 08:30PM ET",34.900,"Bkn"
"SG","Klay Thompson",6900,"GS@Sac 10:00PM ET",25.400,"GS"
"SG","Tyreke Evans",6900,"NO@Dal 08:30PM ET",0,"NO"
"C","Al Jefferson",6800,"Cha@SA 08:30PM ET",32.000,"Cha"
"SG","Bradley Beal",6800,"Was@Atl 07:30PM ET",36.750,"Was"
"SF","Nicolas Batum",6700,"Cha@SA 08:30PM ET",31.750,"Cha"
"PF","Dirk Nowitzki",6600,"NO@Dal 08:30PM ET",31.600,"Dal"
"PG","Kemba Walker",6600,"Cha@SA 08:30PM ET",31.500,"Cha"
"SF","Gordon Hayward",6600,"Mem@Uta 09:00PM ET",23.900,"Uta"
"PG","Jeff Teague",6500,"Was@Atl 07:30PM ET",33.750,"Atl"
"PF","Zach Randolph",6400,"Mem@Uta 09:00PM ET",26.042,"Mem"
"PG","Michael Carter-Williams",6300,"Bkn@Mil 08:30PM ET",32.875,"Mil"
"C","Jahlil Okafor",6300,"Orl@Phi 07:00PM ET",29.250,"Phi"
"PG","Mike Conley",6200,"Mem@Uta 09:00PM ET",27.042,"Mem"
"PF","Tim Duncan",6100,"Cha@SA 08:30PM ET",29.850,"SA"
"PG","Ty Lawson",6100,"Hou@LAC 10:30PM ET",28.750,"Hou"
"SF","Tobias Harris",6100,"Orl@Phi 07:00PM ET",30.750,"Orl"
"PF","Terrence Jones",6000,"Hou@LAC 10:30PM ET",19.000,"Hou"
"PG","Elfrid Payton",6000,"Orl@Phi 07:00PM ET",25.500,"Orl"
"PG","Deron Williams",5900,"NO@Dal 08:30PM ET",26.813,"Dal"
"PG","Rajon Rondo",5800,"GS@Sac 10:00PM ET",28.600,"Sac"
