"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10600,"Bos@Sac 10:00PM ET",50.795,"Sac"
"PG","Russell Westbrook",10400,"OKC@Mia 07:00PM ET",56.639,"OKC"
"SF","Kevin Durant",10100,"OKC@Mia 07:00PM ET",48.854,"OKC"
"SF","Paul George",10000,"Ind@Por 10:00PM ET",48.441,"Ind"
"PG","Damian Lillard",9200,"Ind@Por 10:00PM ET",43.303,"Por"
"PG","Rajon Rondo",8800,"Bos@Sac 10:00PM ET",41.211,"Sac"
"SF","Kawhi Leonard",8600,"SA@Mem 09:30PM ET",41.458,"SA"
"PG","Kyle Lowry",8500,"Den@Tor 07:30PM ET",42.711,"Tor"
"C","Hassan Whiteside",7800,"OKC@Mia 07:00PM ET",38.422,"Mia"
"PG","Isaiah Thomas",7500,"Bos@Sac 10:00PM ET",35.486,"Bos"
"PF","Chris Bosh",7400,"OKC@Mia 07:00PM ET",36.641,"Mia"
"C","Marc Gasol",7300,"SA@Mem 09:30PM ET",34.197,"Mem"
"PF","Derrick Favors",7200,"Orl@Uta 09:00PM ET",36.083,"Uta"
"SG","DeMar DeRozan",7100,"Den@Tor 07:30PM ET",34.053,"Tor"
"SF","Rudy Gay",7000,"Bos@Sac 10:00PM ET",30.194,"Sac"
"SF","Danilo Gallinari",7000,"Den@Tor 07:30PM ET",31.737,"Den"
"SG","Dwyane Wade",6800,"OKC@Mia 07:00PM ET",31.533,"Mia"
"PF","LaMarcus Aldridge",6700,"SA@Mem 09:30PM ET",31.309,"SA"
"PG","Mike Conley",6700,"SA@Mem 09:30PM ET",30.803,"Mem"
"C","Nikola Vucevic",6600,"Orl@Uta 09:00PM ET",33.433,"Orl"
"SF","Gordon Hayward",6600,"Orl@Uta 09:00PM ET",30.297,"Uta"
"SG","Victor Oladipo",6600,"Orl@Uta 09:00PM ET",32.031,"Orl"
"SG","Avery Bradley",6500,"Bos@Sac 10:00PM ET",26.844,"Bos"
"SG","C.J. McCollum",6400,"Ind@Por 10:00PM ET",31.632,"Por"
"C","Jared Sullinger",6400,"Bos@Sac 10:00PM ET",30.236,"Bos"
"PF","Zach Randolph",6300,"SA@Mem 09:30PM ET",28.911,"Mem"
"PF","Serge Ibaka",6200,"OKC@Mia 07:00PM ET",29.403,"OKC"
"SF","Tobias Harris",6200,"Orl@Uta 09:00PM ET",30.486,"Orl"
"C","Rudy Gobert",6200,"Orl@Uta 09:00PM ET",31.536,"Uta"
"PG","Elfrid Payton",6100,"Orl@Uta 09:00PM ET",27.819,"Orl"
"PG","George Hill",6000,"Ind@Por 10:00PM ET",26.875,"Ind"
"SG","Monta Ellis",6000,"Ind@Por 10:00PM ET",28.074,"Ind"
