"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12200,"OKC@Mem 08:00PM ET",56.225,"OKC"
"SG","James Harden",10300,"Bos@Hou 08:00PM ET",50.075,"Hou"
"SF","Kevin Durant",9900,"OKC@Mem 08:00PM ET",46.438,"OKC"
"SF","Paul George",9200,"Ind@Chi 08:00PM ET",45.650,"Ind"
"PG","Damian Lillard",8700,"Por@SA 08:30PM ET",43.568,"Por"
"SG","Eric Bledsoe",8400,"LAL@Pho 09:00PM ET",42.833,"Pho"
"SF","Kawhi Leonard",8200,"Por@SA 08:30PM ET",39.750,"SA"
"SG","Jimmy Butler",7800,"Ind@Chi 08:00PM ET",36.278,"Chi"
"PF","Pau Gasol",7400,"Ind@Chi 08:00PM ET",35.528,"Chi"
"C","Dwight Howard",7400,"Bos@Hou 08:00PM ET",39.417,"Hou"
"C","Jahlil Okafor",7200,"Dal@Phi 07:00PM ET",33.275,"Phi"
"PF","LaMarcus Aldridge",7100,"Por@SA 08:30PM ET",33.194,"SA"
"PG","Isaiah Thomas",7100,"Bos@Hou 08:00PM ET",35.389,"Bos"
"C","Marc Gasol",7000,"OKC@Mem 08:00PM ET",30.227,"Mem"
"PG","Brandon Knight",7000,"LAL@Pho 09:00PM ET",32.806,"Pho"
"PF","Serge Ibaka",6900,"OKC@Mem 08:00PM ET",32.200,"OKC"
"PF","Nerlens Noel",6800,"Dal@Phi 07:00PM ET",30.719,"Phi"
"SG","C.J. McCollum",6700,"Por@SA 08:30PM ET",31.864,"Por"
"PF","Dirk Nowitzki",6500,"Dal@Phi 07:00PM ET",31.472,"Dal"
"PF","Zach Randolph",6300,"OKC@Mem 08:00PM ET",29.227,"Mem"
"C","Tim Duncan",6200,"Por@SA 08:30PM ET",29.583,"SA"
"SG","Kobe Bryant",6100,"LAL@Pho 09:00PM ET",28.875,"LAL"
"PF","Nikola Mirotic",6100,"Ind@Chi 08:00PM ET",23.944,"Chi"
"PG","George Hill",6000,"Ind@Chi 08:00PM ET",28.175,"Ind"
"PG","Mike Conley",6000,"OKC@Mem 08:00PM ET",28.591,"Mem"
"SF","Al-Farouq Aminu",6000,"Por@SA 08:30PM ET",27.614,"Por"
"PF","Terrence Jones",6000,"Bos@Hou 08:00PM ET",25.150,"Hou"
"PF","Julius Randle",6000,"LAL@Pho 09:00PM ET",27.500,"LAL"
"PG","Derrick Rose",5900,"Ind@Chi 08:00PM ET",25.389,"Chi"
"SG","Monta Ellis",5800,"Ind@Chi 08:00PM ET",27.250,"Ind"
"PF","Markieff Morris",5800,"LAL@Pho 09:00PM ET",23.188,"Pho"
"PF","Jared Sullinger",5800,"Bos@Hou 08:00PM ET",30.806,"Bos"
"C","Zaza Pachulia",5700,"Dal@Phi 07:00PM ET",28.400,"Dal"
"SG","Marcus Thornton",5700,"Bos@Hou 08:00PM ET",26.531,"Hou"
"PG","Deron Williams",5600,"Dal@Phi 07:00PM ET",25.667,"Dal"
"PG","Ty Lawson",5600,"Bos@Hou 08:00PM ET",24.550,"Hou"
"SF","Trevor Ariza",5500,"Bos@Hou 08:00PM ET",24.875,"Hou"
"C","Mason Plumlee",5500,"Por@SA 08:30PM ET",26.614,"Por"
"SF","Jae Crowder",5500,"Bos@Hou 08:00PM ET",26.500,"Bos"
"PG","T.J. McConnell",5400,"Dal@Phi 07:00PM ET",24.500,"Phi"
"C","Enes Kanter",5400,"OKC@Mem 08:00PM ET",24.475,"OKC"
"C","Tyson Chandler",5300,"LAL@Pho 09:00PM ET",23.833,"Pho"
"PG","Jordan Clarkson",5200,"LAL@Pho 09:00PM ET",24.825,"LAL"
"SG","Evan Turner",5000,"Bos@Hou 08:00PM ET",21.556,"Bos"
"C","Roy Hibbert",4900,"LAL@Pho 09:00PM ET",24.700,"LAL"
"PG","Tony Wroten",4900,"Dal@Phi 07:00PM ET",0,"Phi"
"PF","Dwight Powell",4800,"Dal@Phi 07:00PM ET",25.475,"Dal"
"PF","Clint Capela",4800,"Bos@Hou 08:00PM ET",20.225,"Hou"
"C","Joakim Noah",4700,"Ind@Chi 08:00PM ET",21.000,"Chi"
"SF","Robert Covington",4700,"Dal@Phi 07:00PM ET",11.500,"Phi"
"PG","Lou Williams",4600,"LAL@Pho 09:00PM ET",22.125,"LAL"
"SG","Wesley Matthews",4600,"Dal@Phi 07:00PM ET",17.563,"Dal"
"PF","Jordan Hill",4600,"Ind@Chi 08:00PM ET",22.194,"Ind"
"SG","Avery Bradley",4600,"Bos@Hou 08:00PM ET",20.929,"Bos"
"SG","Dion Waiters",4600,"OKC@Mem 08:00PM ET",19.150,"OKC"
"PF","Donatas Motiejunas",4600,"Bos@Hou 08:00PM ET",0,"Hou"
"SF","Jerami Grant",4600,"Dal@Phi 07:00PM ET",22.375,"Phi"
"PG","Marcus Smart",4500,"Bos@Hou 08:00PM ET",25.125,"Bos"
"SG","Nik Stauskas",4500,"Dal@Phi 07:00PM ET",20.556,"Phi"
"PG","D'Angelo Russell",4500,"LAL@Pho 09:00PM ET",20.600,"LAL"
"PF","Ed Davis",4400,"Por@SA 08:30PM ET",19.977,"Por"
"SG","Manu Ginóbili",4300,"Por@SA 08:30PM ET",23.875,"SA"
"PG","Tony Parker",4300,"Por@SA 08:30PM ET",19.333,"SA"
