"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10700,"NO@Hou 08:00PM ET",46.411,"NO"
"PG","Stephen Curry",10600,"GS@Cha 07:00PM ET",53.263,"GS"
"SG","James Harden",10300,"NO@Hou 08:00PM ET",52.625,"Hou"
"SF","Paul George",10200,"Ind@LAC 10:30PM ET",47.625,"Ind"
"PF","Blake Griffin",9100,"Ind@LAC 10:30PM ET",45.264,"LAC"
"C","Andre Drummond",9000,"Pho@Det 07:30PM ET",47.847,"Det"
"SF","Kawhi Leonard",8700,"Mil@SA 08:30PM ET",42.559,"SA"
"PG","Kyle Lowry",8600,"Tor@Atl 08:00PM ET",42.375,"Tor"
"PG","Chris Paul",8500,"Ind@LAC 10:30PM ET",36.983,"LAC"
"SF","Carmelo Anthony",8300,"Phi@NY 07:30PM ET",37.111,"NY"
"SG","Eric Bledsoe",8300,"Pho@Det 07:30PM ET",41.234,"Pho"
"PF","Paul Millsap",8100,"Tor@Atl 08:00PM ET",42.125,"Atl"
"PG","John Wall",8000,"LAL@Was 07:00PM ET",36.911,"Was"
"PG","Brandon Knight",8000,"Pho@Det 07:30PM ET",39.559,"Pho"
"PF","Draymond Green",7900,"GS@Cha 07:00PM ET",39.197,"GS"
"PF","Kristaps Porzingis",7900,"Phi@NY 07:30PM ET",32.125,"NY"
"SG","Jimmy Butler",7700,"Den@Chi 08:00PM ET",37.400,"Chi"
"PG","Kemba Walker",7500,"GS@Cha 07:00PM ET",35.456,"Cha"
"SF","Nicolas Batum",7400,"GS@Cha 07:00PM ET",34.412,"Cha"
"C","DeAndre Jordan",7300,"Ind@LAC 10:30PM ET",35.708,"LAC"
"SG","DeMar DeRozan",7200,"Tor@Atl 08:00PM ET",34.472,"Tor"
"PG","Reggie Jackson",7200,"Pho@Det 07:30PM ET",35.375,"Det"
"SF","Robert Covington",7200,"Phi@NY 07:30PM ET",31.417,"Phi"
"C","Dwight Howard",7100,"NO@Hou 08:00PM ET",35.654,"Hou"
"PG","Ish Smith",7100,"NO@Hou 08:00PM ET",32.162,"NO"
"SF","Danilo Gallinari",7000,"Den@Chi 08:00PM ET",31.875,"Den"
