"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10800,"Den@NO 08:00PM ET",48.063,"NO"
"PG","Stephen Curry",10700,"Tor@GS 10:30PM ET",54.818,"GS"
"SF","LeBron James",10100,"Cle@Det 07:30PM ET",50.000,"Cle"
"C","Andre Drummond",9900,"Cle@Det 07:30PM ET",50.300,"Det"
"PG","John Wall",9000,"Mil@Was 07:00PM ET",41.219,"Was"
"SF","Carmelo Anthony",8500,"Cha@NY 07:30PM ET",40.932,"NY"
"PG","Kyle Lowry",8200,"Tor@GS 10:30PM ET",41.864,"Tor"
"PF","Greg Monroe",8100,"Mil@Was 07:00PM ET",39.600,"Mil"
"C","Hassan Whiteside",8100,"Min@Mia 07:30PM ET",38.528,"Mia"
"PF","Kevin Love",8000,"Cle@Det 07:30PM ET",39.575,"Cle"
"PF","Paul Millsap",7900,"Atl@Bkn 07:30PM ET",40.521,"Atl"
"PG","Reggie Jackson",7700,"Cle@Det 07:30PM ET",34.550,"Det"
"C","Karl-Anthony Towns",7500,"Min@Mia 07:30PM ET",35.050,"Min"
"PF","Draymond Green",7400,"Tor@GS 10:30PM ET",38.386,"GS"
"PG","Ricky Rubio",7400,"Min@Mia 07:30PM ET",36.000,"Min"
"PF","Chris Bosh",7300,"Min@Mia 07:30PM ET",38.694,"Mia"
"SG","DeMar DeRozan",7300,"Tor@GS 10:30PM ET",35.295,"Tor"
"C","Al Horford",7200,"Atl@Bkn 07:30PM ET",36.854,"Atl"
"C","Brook Lopez",7100,"Atl@Bkn 07:30PM ET",36.775,"Bkn"
"PG","Jeff Teague",7000,"Atl@Bkn 07:30PM ET",33.409,"Atl"
"SF","Giannis Antetokounmpo",7000,"Mil@Was 07:00PM ET",33.306,"Mil"
"SF","Nicolas Batum",6900,"Cha@NY 07:30PM ET",34.675,"Cha"
"SG","Bradley Beal",6900,"Mil@Was 07:00PM ET",34.958,"Was"
"SG","Tyreke Evans",6800,"Den@NO 08:00PM ET",0,"NO"
"SG","Klay Thompson",6700,"Tor@GS 10:30PM ET",27.375,"GS"
"PG","Kyrie Irving",6700,"Cle@Det 07:30PM ET",0,"Cle"
"SG","Andrew Wiggins",6600,"Min@Mia 07:30PM ET",28.556,"Min"
"SF","Marcus Morris",6500,"Cle@Det 07:30PM ET",29.400,"Det"
"PG","Kemba Walker",6400,"Cha@NY 07:30PM ET",31.000,"Cha"
"SG","Eric Gordon",6300,"Den@NO 08:00PM ET",29.825,"NO"
"PF","Kenneth Faried",6300,"Den@NO 08:00PM ET",29.725,"Den"
"SG","Dwyane Wade",6200,"Min@Mia 07:30PM ET",30.656,"Mia"
"PG","Mo Williams",6200,"Cle@Det 07:30PM ET",28.775,"Cle"
"SF","Danilo Gallinari",6200,"Den@NO 08:00PM ET",29.000,"Den"
"PF","Ryan Anderson",6100,"Den@NO 08:00PM ET",28.625,"NO"
"PG","Emmanuel Mudiay",6100,"Den@NO 08:00PM ET",29.100,"Den"
"C","Al Jefferson",6000,"Cha@NY 07:30PM ET",27.900,"Cha"
"PG","Michael Carter-Williams",6000,"Mil@Was 07:00PM ET",33.450,"Mil"
