"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10700,"Atl@NO 08:00PM ET",43.125,"NO"
"PG","Stephen Curry",10300,"Den@GS 10:30PM ET",57.550,"GS"
"SG","James Harden",10000,"Hou@Sac 10:30PM ET",43.850,"Hou"
"SF","LeBron James",9900,"Phi@Cle 07:30PM ET",45.400,"Cle"
"C","DeMarcus Cousins",9800,"Hou@Sac 10:30PM ET",41.917,"Sac"
"PG","John Wall",9100,"Was@Bos 07:30PM ET",46.313,"Was"
"C","Andre Drummond",8900,"Det@Pho 09:30PM ET",53.125,"Det"
"PF","Greg Monroe",8500,"Mil@NY 07:30PM ET",41.800,"Mil"
"SF","Carmelo Anthony",8400,"Mil@NY 07:30PM ET",41.350,"NY"
"SF","Paul George",8100,"Mia@Ind 08:00PM ET",39.900,"Ind"
"PG","Kyle Lowry",7900,"Tor@Orl 07:00PM ET",41.800,"Tor"
"PF","Paul Millsap",7800,"Atl@NO 08:00PM ET",39.083,"Atl"
"PG","Eric Bledsoe",7700,"Det@Pho 09:30PM ET",39.650,"Pho"
"SG","Victor Oladipo",7700,"Tor@Orl 07:00PM ET",40.050,"Orl"
"PF","Kevin Love",7600,"Phi@Cle 07:30PM ET",37.550,"Cle"
"C","Nikola Vucevic",7600,"Tor@Orl 07:00PM ET",35.200,"Orl"
"SF","Rudy Gay",7500,"Hou@Sac 10:30PM ET",32.300,"Sac"
"PG","Reggie Jackson",7500,"Det@Pho 09:30PM ET",34.188,"Det"
"C","Hassan Whiteside",7500,"Mia@Ind 08:00PM ET",38.625,"Mia"
"C","Al Horford",7400,"Atl@NO 08:00PM ET",38.417,"Atl"
"SG","DeMar DeRozan",7400,"Tor@Orl 07:00PM ET",36.600,"Tor"
"SF","Giannis Antetokounmpo",7300,"Mil@NY 07:30PM ET",37.563,"Mil"
"PF","Draymond Green",7200,"Den@GS 10:30PM ET",32.450,"GS"
"SG","Brandon Knight",7200,"Det@Pho 09:30PM ET",36.000,"Pho"
"C","Dwight Howard",7100,"Hou@Sac 10:30PM ET",34.583,"Hou"
"PF","Nerlens Noel",7000,"Phi@Cle 07:30PM ET",35.063,"Phi"
"PF","Chris Bosh",6900,"Mia@Ind 08:00PM ET",33.938,"Mia"
"SG","Klay Thompson",6900,"Den@GS 10:30PM ET",25.400,"GS"
"SG","Tyreke Evans",6900,"Atl@NO 08:00PM ET",0,"NO"
