"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","James Harden",10300,"GS@Hou 09:30PM ET",46.000,"Hou"
"C","DeMarcus Cousins",10200,"LAL@Sac 10:00PM ET",54.250,"Sac"
"PG","Russell Westbrook",10100,"OKC@Orl 07:00PM ET",55.000,"OKC"
"PG","Stephen Curry",9900,"GS@Hou 09:30PM ET",63.500,"GS"
"SF","LeBron James",9700,"Mia@Cle 07:00PM ET",40.625,"Cle"
"SF","Kevin Durant",9400,"OKC@Orl 07:00PM ET",30.000,"OKC"
"PG","Damian Lillard",9300,"Por@Pho 10:30PM ET",47.750,"Por"
"PG","John Wall",9100,"Was@Mil 08:00PM ET",53.750,"Was"
"C","Andre Drummond",8100,"Chi@Det 07:30PM ET",45.375,"Det"
"PG","Kyle Lowry",7900,"Tor@Bos 07:30PM ET",38.250,"Tor"
"C","Nikola Vucevic",7800,"OKC@Orl 07:00PM ET",26.750,"Orl"
"PF","Paul Millsap",7700,"Cha@Atl 08:00PM ET",38.125,"Atl"
"PF","Greg Monroe",7700,"Was@Mil 08:00PM ET",55.000,"Mil"
"SF","Kawhi Leonard",7700,"Bkn@SA 08:30PM ET",51.000,"SA"
"PF","Pau Gasol",7600,"Chi@Det 07:30PM ET",25.375,"Chi"
"C","Al Horford",7600,"Cha@Atl 08:00PM ET",39.625,"Atl"
"SG","Jimmy Butler",7600,"Chi@Det 07:30PM ET",37.625,"Chi"
"SF","Rudy Gay",7500,"LAL@Sac 10:00PM ET",27.500,"Sac"
"PG","Reggie Jackson",7500,"Chi@Det 07:30PM ET",31.250,"Det"
"PF","Chris Bosh",7400,"Mia@Cle 07:00PM ET",41.000,"Mia"
"PF","LaMarcus Aldridge",7400,"Bkn@SA 08:30PM ET",20.750,"SA"
"SG","Eric Bledsoe",7400,"Por@Pho 10:30PM ET",23.000,"Pho"
"PF","Kevin Love",7300,"Mia@Cle 07:00PM ET",38.625,"Cle"
"SG","DeMar DeRozan",7300,"Tor@Bos 07:30PM ET",43.750,"Tor"
"SG","Klay Thompson",7200,"GS@Hou 09:30PM ET",19.000,"GS"
"PF","Derrick Favors",7200,"Uta@Phi 07:00PM ET",38.000,"Uta"
"C","Rudy Gobert",7200,"Uta@Phi 07:00PM ET",29.000,"Uta"
"C","Dwight Howard",7100,"GS@Hou 09:30PM ET",0,"Hou"
"C","Brook Lopez",7100,"Bkn@SA 08:30PM ET",38.250,"Bkn"
"SG","Victor Oladipo",7100,"OKC@Orl 07:00PM ET",39.250,"Orl"
"PG","Ricky Rubio",7000,"Min@Den 09:00PM ET",55.500,"Min"
"PG","Kemba Walker",6900,"Cha@Atl 08:00PM ET",36.500,"Cha"
"PF","Draymond Green",6900,"GS@Hou 09:30PM ET",25.500,"GS"
"SF","Gordon Hayward",6900,"Uta@Phi 07:00PM ET",21.500,"Uta"
"PF","Nerlens Noel",6900,"Uta@Phi 07:00PM ET",42.000,"Phi"
"SG","Kobe Bryant",6800,"LAL@Sac 10:00PM ET",36.000,"LAL"
"SG","Dwyane Wade",6800,"Mia@Cle 07:00PM ET",32.750,"Mia"
