"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10800,"GS@Uta 09:00PM ET",53.667,"GS"
"PG","Russell Westbrook",10600,"OKC@Atl 08:00PM ET",56.368,"OKC"
"PF","DeMarcus Cousins",10600,"Dal@Sac 10:00PM ET",50.600,"Sac"
"SG","James Harden",10300,"Hou@Det 07:30PM ET",52.588,"Hou"
"SF","Kevin Durant",9900,"OKC@Atl 08:00PM ET",48.614,"OKC"
"PG","Damian Lillard",9400,"Por@LAC 10:30PM ET",44.721,"Por"
"PF","Blake Griffin",9100,"Por@LAC 10:30PM ET",45.279,"LAC"
"PG","Rajon Rondo",9000,"Dal@Sac 10:00PM ET",41.708,"Sac"
"C","Andre Drummond",8900,"Hou@Det 07:30PM ET",47.353,"Det"
"PG","Chris Paul",8700,"Por@LAC 10:30PM ET",37.857,"LAC"
"SF","Kawhi Leonard",8600,"SA@Chi 08:00PM ET",42.563,"SA"
"SG","Jimmy Butler",8000,"SA@Chi 08:00PM ET",38.232,"Chi"
"C","Hassan Whiteside",8000,"Bos@Mia 07:30PM ET",39.417,"Mia"
"PF","Paul Millsap",7700,"OKC@Atl 08:00PM ET",41.303,"Atl"
"PF","Draymond Green",7700,"GS@Uta 09:00PM ET",39.194,"GS"
"PG","Isaiah Thomas",7600,"Bos@Mia 07:30PM ET",35.618,"Bos"
"PF","Chris Bosh",7300,"Bos@Mia 07:30PM ET",35.983,"Mia"
"C","Dwight Howard",7200,"Hou@Det 07:30PM ET",35.958,"Hou"
"SF","Rudy Gay",7200,"Dal@Sac 10:00PM ET",30.191,"Sac"
"C","DeAndre Jordan",7100,"Por@LAC 10:30PM ET",34.456,"LAC"
"PF","Derrick Favors",7100,"GS@Uta 09:00PM ET",35.518,"Uta"
"PG","Reggie Jackson",7000,"Hou@Det 07:30PM ET",34.294,"Det"
"SF","Giannis Antetokounmpo",7000,"Den@Mil 08:00PM ET",32.438,"Mil"
"C","Greg Monroe",6900,"Den@Mil 08:00PM ET",35.985,"Mil"
"C","Pau Gasol",6800,"SA@Chi 08:00PM ET",34.268,"Chi"
"SF","Danilo Gallinari",6800,"Den@Mil 08:00PM ET",32.250,"Den"
"SG","Dwyane Wade",6700,"Bos@Mia 07:30PM ET",30.357,"Mia"
"PF","LaMarcus Aldridge",6600,"SA@Chi 08:00PM ET",31.133,"SA"
"SF","Gordon Hayward",6600,"GS@Uta 09:00PM ET",29.783,"Uta"
"SG","C.J. McCollum",6600,"Por@LAC 10:30PM ET",31.853,"Por"
"PG","Jeff Teague",6500,"OKC@Atl 08:00PM ET",32.172,"Atl"
"SG","Avery Bradley",6500,"Bos@Mia 07:30PM ET",25.933,"Bos"
"PF","Dirk Nowitzki",6400,"Dal@Sac 10:00PM ET",31.531,"Dal"
"C","Al Horford",6400,"OKC@Atl 08:00PM ET",33.250,"Atl"
"SG","Klay Thompson",6400,"GS@Uta 09:00PM ET",26.882,"GS"
"C","Jared Sullinger",6400,"Bos@Mia 07:30PM ET",30.221,"Bos"
"C","Rudy Gobert",6300,"GS@Uta 09:00PM ET",31.135,"Uta"
"PF","Serge Ibaka",6200,"OKC@Atl 08:00PM ET",29.088,"OKC"
"SF","Al-Farouq Aminu",6200,"Por@LAC 10:30PM ET",27.191,"Por"
"C","Mason Plumlee",6200,"Por@LAC 10:30PM ET",28.324,"Por"
"PG","Deron Williams",6100,"Dal@Sac 10:00PM ET",29.203,"Dal"
"C","Tim Duncan",6000,"SA@Chi 08:00PM ET",30.266,"SA"
"C","Zaza Pachulia",5900,"Dal@Sac 10:00PM ET",28.853,"Dal"
"PG","Derrick Rose",5900,"SA@Chi 08:00PM ET",27.417,"Chi"
"PF","Kenneth Faried",5800,"Den@Mil 08:00PM ET",27.446,"Den"
"SG","Will Barton",5800,"Den@Mil 08:00PM ET",26.824,"Den"
"SF","Marcus Morris",5700,"Hou@Det 07:30PM ET",27.529,"Det"
"SG","Khris Middleton",5700,"Den@Mil 08:00PM ET",26.471,"Mil"
