"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10300,"OKC@Hou 08:00PM ET",58.167,"OKC"
"PG","Stephen Curry",10200,"Mem@GS 10:30PM ET",64.083,"GS"
"SG","James Harden",9900,"OKC@Hou 08:00PM ET",40.083,"Hou"
"PF","Blake Griffin",9800,"Pho@LAC 10:30PM ET",51.083,"LAC"
"SF","LeBron James",9700,"Cle@Phi 07:00PM ET",40.833,"Cle"
"PG","Chris Paul",9700,"Pho@LAC 10:30PM ET",37.000,"LAC"
"SF","Kevin Durant",9700,"OKC@Hou 08:00PM ET",45.500,"OKC"
"PG","Damian Lillard",9200,"Por@Min 08:00PM ET",41.833,"Por"
"SF","Carmelo Anthony",8900,"SA@NY 07:30PM ET",42.667,"NY"
"C","Marc Gasol",8000,"Mem@GS 10:30PM ET",24.583,"Mem"
"C","DeAndre Jordan",8000,"Pho@LAC 10:30PM ET",41.083,"LAC"
"PF","Greg Monroe",7900,"Mil@Bkn 07:30PM ET",41.583,"Mil"
"SF","Kawhi Leonard",7700,"SA@NY 07:30PM ET",40.083,"SA"
"PF","Kevin Love",7500,"Cle@Phi 07:00PM ET",43.750,"Cle"
"SG","Eric Bledsoe",7500,"Pho@LAC 10:30PM ET",38.083,"Pho"
"PF","LaMarcus Aldridge",7300,"SA@NY 07:30PM ET",35.667,"SA"
"PG","Ricky Rubio",7100,"Por@Min 08:00PM ET",43.375,"Min"
"PF","Zach Randolph",7000,"Mem@GS 10:30PM ET",26.250,"Mem"
"C","Dwight Howard",7000,"OKC@Hou 08:00PM ET",22.750,"Hou"
"C","Brook Lopez",7000,"Mil@Bkn 07:30PM ET",31.333,"Bkn"
"PF","Draymond Green",7000,"Mem@GS 10:30PM ET",32.917,"GS"
"SG","Klay Thompson",6900,"Mem@GS 10:30PM ET",20.833,"GS"
"PF","Nerlens Noel",6900,"Cle@Phi 07:00PM ET",34.875,"Phi"
"PG","Mike Conley",6800,"Mem@GS 10:30PM ET",32.833,"Mem"
"PG","C.J. McCollum",6700,"Por@Min 08:00PM ET",36.583,"Por"
"PG","Michael Carter-Williams",6700,"Mil@Bkn 07:30PM ET",35.500,"Mil"
"PG","Kyrie Irving",6600,"Cle@Phi 07:00PM ET",0,"Cle"
"PG","Brandon Knight",6600,"Pho@LAC 10:30PM ET",36.417,"Pho"
"SF","Giannis Antetokounmpo",6400,"Mil@Bkn 07:30PM ET",40.750,"Mil"
"PF","Markieff Morris",6300,"Pho@LAC 10:30PM ET",23.333,"Pho"
"PF","Serge Ibaka",6200,"OKC@Hou 08:00PM ET",30.167,"OKC"
"SF","Andrew Wiggins",6200,"Por@Min 08:00PM ET",16.875,"Min"
"PF","Terrence Jones",6100,"OKC@Hou 08:00PM ET",19.000,"Hou"
"C","Enes Kanter",6100,"OKC@Hou 08:00PM ET",26.500,"OKC"
"C","Karl-Anthony Towns",6100,"Por@Min 08:00PM ET",44.000,"Min"
"C","Jahlil Okafor",6100,"Cle@Phi 07:00PM ET",29.125,"Phi"
