"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10800,"Sac@Hou 08:00PM ET",49.208,"Sac"
"SG","James Harden",10500,"Sac@Hou 08:00PM ET",52.588,"Hou"
"SF","LeBron James",10000,"Cle@Mia 08:00PM ET",48.816,"Cle"
"SF","Paul George",9800,"Ind@Uta 09:00PM ET",46.958,"Ind"
"PF","Blake Griffin",9000,"Orl@LAC 10:30PM ET",44.513,"LAC"
"PG","Damian Lillard",8900,"Por@Min 08:00PM ET",43.500,"Por"
"PG","Rajon Rondo",8800,"Sac@Hou 08:00PM ET",40.313,"Sac"
"SF","Kawhi Leonard",8700,"Bos@SA 08:30PM ET",41.934,"SA"
"PF","Kevin Love",8600,"Cle@Mia 08:00PM ET",39.895,"Cle"
"PG","Chris Paul",8500,"Orl@LAC 10:30PM ET",36.950,"LAC"
"PF","Kristaps Porzingis",8100,"NY@Mil 08:30PM ET",32.988,"NY"
"SF","Carmelo Anthony",8000,"NY@Mil 08:30PM ET",36.763,"NY"
"PG","Isaiah Thomas",7700,"Bos@SA 08:30PM ET",36.303,"Bos"
"SG","Jimmy Butler",7700,"Cha@Chi 08:00PM ET",37.250,"Chi"
"C","Hassan Whiteside",7700,"Cle@Mia 08:00PM ET",37.574,"Mia"
"PF","Derrick Favors",7500,"Ind@Uta 09:00PM ET",35.859,"Uta"
"PF","Chris Bosh",7300,"Cle@Mia 08:00PM ET",36.456,"Mia"
"PG","Kemba Walker",7300,"Cha@Chi 08:00PM ET",34.083,"Cha"
"SG","Andrew Wiggins",7300,"Por@Min 08:00PM ET",31.632,"Min"
"C","Pau Gasol",7200,"Cha@Chi 08:00PM ET",36.953,"Chi"
"SF","Nicolas Batum",7200,"Cha@Chi 08:00PM ET",34.778,"Cha"
"SF","Rudy Gay",7100,"Sac@Hou 08:00PM ET",30.066,"Sac"
"C","DeAndre Jordan",7100,"Orl@LAC 10:30PM ET",34.868,"LAC"
"SG","Dwyane Wade",7000,"Cle@Mia 08:00PM ET",32.063,"Mia"
"C","Dwight Howard",7000,"Sac@Hou 08:00PM ET",35.429,"Hou"
"C","Greg Monroe",6900,"NY@Mil 08:30PM ET",35.675,"Mil"
"SF","Gordon Hayward",6900,"Ind@Uta 09:00PM ET",30.824,"Uta"
"C","Nikola Vucevic",6800,"Orl@LAC 10:30PM ET",33.531,"Orl"
"PF","LaMarcus Aldridge",6700,"Bos@SA 08:30PM ET",31.153,"SA"
"PG","Kyrie Irving",6700,"Cle@Mia 08:00PM ET",0,"Cle"
"SF","Giannis Antetokounmpo",6700,"NY@Mil 08:30PM ET",30.566,"Mil"
"C","Karl-Anthony Towns",6700,"Por@Min 08:00PM ET",32.208,"Min"
"PG","Ricky Rubio",6600,"Por@Min 08:00PM ET",31.146,"Min"
"SG","Avery Bradley",6600,"Bos@SA 08:30PM ET",27.132,"Bos"
"SG","C.J. McCollum",6600,"Por@Min 08:00PM ET",32.013,"Por"
"SG","Victor Oladipo",6500,"Orl@LAC 10:30PM ET",31.750,"Orl"
"C","Jared Sullinger",6400,"Bos@SA 08:30PM ET",29.500,"Bos"
"PG","Derrick Rose",6300,"Cha@Chi 08:00PM ET",27.464,"Chi"
"C","Al Jefferson",6200,"Cha@Chi 08:00PM ET",27.941,"Cha"
"SF","Tobias Harris",6200,"Orl@LAC 10:30PM ET",30.632,"Orl"
"C","Rudy Gobert",6200,"Ind@Uta 09:00PM ET",31.536,"Uta"
"C","Tim Duncan",6100,"Bos@SA 08:30PM ET",30.355,"SA"
"PG","Elfrid Payton",6100,"Orl@LAC 10:30PM ET",28.000,"Orl"
"SF","Evan Fournier",5900,"Orl@LAC 10:30PM ET",28.092,"Orl"
"SF","C.J. Miles",5800,"Ind@Uta 09:00PM ET",25.050,"Ind"
"SG","Monta Ellis",5800,"Ind@Uta 09:00PM ET",26.792,"Ind"
"PF","Tristan Thompson",5800,"Cle@Mia 08:00PM ET",23.868,"Cle"
"C","Clint Capela",5800,"Sac@Hou 08:00PM ET",21.813,"Hou"
"PG","George Hill",5700,"Ind@Uta 09:00PM ET",26.667,"Ind"
"SG","Khris Middleton",5700,"NY@Mil 08:30PM ET",26.288,"Mil"
"SF","Jae Crowder",5700,"Bos@SA 08:30PM ET",25.987,"Bos"
"PG","Mo Williams",5600,"Cle@Mia 08:00PM ET",25.781,"Cle"
"PF","Marvin Williams",5600,"Cha@Chi 08:00PM ET",25.458,"Cha"
"PF","Nikola Mirotic",5600,"Cha@Chi 08:00PM ET",24.125,"Chi"
"PG","Tony Parker",5500,"Bos@SA 08:30PM ET",24.775,"SA"
"C","Mason Plumlee",5500,"Por@Min 08:00PM ET",27.900,"Por"
"PG","Zach LaVine",5500,"Por@Min 08:00PM ET",25.861,"Min"
"SF","Al-Farouq Aminu",5400,"Por@Min 08:00PM ET",25.838,"Por"
"SF","Trevor Ariza",5300,"Sac@Hou 08:00PM ET",26.125,"Hou"
"SG","J.R. Smith",5300,"Cle@Mia 08:00PM ET",22.031,"Cle"
"SG","Alec Burks",5200,"Ind@Uta 09:00PM ET",25.338,"Uta"
"C","Ian Mahinmi",5100,"Ind@Uta 09:00PM ET",23.529,"Ind"
"PG","Michael Carter-Williams",5100,"NY@Mil 08:30PM ET",23.917,"Mil"
"PG","Jerryd Bayless",5000,"NY@Mil 08:30PM ET",24.158,"Mil"
"SG","Evan Turner",5000,"Bos@SA 08:30PM ET",21.921,"Bos"
"PG","Goran Dragic",5000,"Cle@Mia 08:00PM ET",23.426,"Mia"
"SG","Jeremy Lamb",5000,"Cha@Chi 08:00PM ET",23.426,"Cha"
"PF","Terrence Jones",5000,"Sac@Hou 08:00PM ET",22.100,"Hou"
"SG","Rodney Hood",5000,"Ind@Uta 09:00PM ET",22.609,"Uta"
"SG","Jamal Crawford",4900,"Orl@LAC 10:30PM ET",18.908,"LAC"
"PF","Ed Davis",4900,"Por@Min 08:00PM ET",21.438,"Por"
"PF","Jordan Hill",4800,"Ind@Uta 09:00PM ET",23.297,"Ind"
"PG","Marcus Smart",4800,"Bos@SA 08:30PM ET",23.278,"Bos"
"SG","Arron Afflalo",4700,"NY@Mil 08:30PM ET",21.917,"NY"
"SG","Gerald Green",4700,"Cle@Mia 08:00PM ET",15.091,"Mia"
"C","Kosta Koufos",4700,"Sac@Hou 08:00PM ET",21.300,"Sac"
"SF","Omri Casspi",4700,"Sac@Hou 08:00PM ET",22.789,"Sac"
"C","Meyers Leonard",4700,"Por@Min 08:00PM ET",19.212,"Por"
"PG","Darren Collison",4600,"Sac@Hou 08:00PM ET",22.583,"Sac"
"PF","Donatas Motiejunas",4600,"Sac@Hou 08:00PM ET",0,"Hou"
"PF","Amir Johnson",4500,"Bos@SA 08:30PM ET",20.605,"Bos"
"PG","Matthew Dellavedova",4500,"Cle@Mia 08:00PM ET",20.736,"Cle"
"C","Gorgui Dieng",4500,"Por@Min 08:00PM ET",20.083,"Min"
"PF","Jabari Parker",4500,"NY@Mil 08:30PM ET",17.054,"Mil"
"SG","Rodney Stuckey",4400,"Ind@Uta 09:00PM ET",20.654,"Ind"
"PF","Trevor Booker",4400,"Ind@Uta 09:00PM ET",15.172,"Uta"
"PG","Patrick Beverley",4400,"Sac@Hou 08:00PM ET",16.077,"Hou"
"SG","O.J. Mayo",4400,"NY@Mil 08:30PM ET",18.222,"Mil"
"C","Joakim Noah",4300,"Cha@Chi 08:00PM ET",20.717,"Chi"
"SG","J.J. Redick",4200,"Orl@LAC 10:30PM ET",18.672,"LAC"
"SF","Luol Deng",4200,"Cle@Mia 08:00PM ET",20.192,"Mia"
"SG","Marco Belinelli",4200,"Sac@Hou 08:00PM ET",18.525,"Sac"
"PF","Nemanja Bjelica",4200,"Por@Min 08:00PM ET",19.821,"Min"
"SG","Manu Ginobili",4100,"Bos@SA 08:30PM ET",21.656,"SA"
"SG","Danny Green",4100,"Bos@SA 08:30PM ET",18.375,"SA"
"PG","Jose Calderon",4100,"NY@Mil 08:30PM ET",18.575,"NY"
"PG","Jeremy Lin",4100,"Cha@Chi 08:00PM ET",20.264,"Cha"
"SF","Marcus Thornton",4100,"Sac@Hou 08:00PM ET",18.736,"Hou"
"SF","Justise Winslow",4100,"Cle@Mia 08:00PM ET",16.882,"Mia"
"C","Robin Lopez",4000,"NY@Mil 08:30PM ET",19.975,"NY"
"PF","Taj Gibson",4000,"Cha@Chi 08:00PM ET",17.500,"Chi"
"C","Kelly Olynyk",4000,"Bos@SA 08:30PM ET",17.986,"Bos"
"PF","Cody Zeller",4000,"Cha@Chi 08:00PM ET",15.844,"Cha"
"SG","Kevin Martin",3900,"Por@Min 08:00PM ET",17.559,"Min"
"PG","Ty Lawson",3900,"Sac@Hou 08:00PM ET",18.671,"Hou"
"C","Lavoy Allen",3900,"Ind@Uta 09:00PM ET",14.926,"Ind"
"PF","Andrew Nicholson",3900,"Orl@LAC 10:30PM ET",15.925,"Orl"
"SG","Austin Rivers",3900,"Orl@LAC 10:30PM ET",14.171,"LAC"
"SF","Aaron Gordon",3900,"Orl@LAC 10:30PM ET",18.737,"Orl"
"PF","David West",3800,"Bos@SA 08:30PM ET",13.000,"SA"
"PF","Josh Smith",3800,"Orl@LAC 10:30PM ET",16.500,"LAC"
"SG","Langston Galloway",3700,"NY@Mil 08:30PM ET",19.025,"NY"
"C","Timofey Mozgov",3700,"Cle@Mia 08:00PM ET",14.953,"Cle"
"SG","Tyler Johnson",3700,"Cle@Mia 08:00PM ET",16.359,"Mia"
"PF","David Lee",3600,"Bos@SA 08:30PM ET",14.921,"Bos"
"PG","Aaron Brooks",3600,"Cha@Chi 08:00PM ET",15.636,"Chi"
"PG","Patty Mills",3600,"Bos@SA 08:30PM ET",16.575,"SA"
"SG","Iman Shumpert",3600,"Cle@Mia 08:00PM ET",0,"Cle"
"PF","John Henson",3600,"NY@Mil 08:30PM ET",15.406,"Mil"
"PG","Trey Burke",3600,"Ind@Uta 09:00PM ET",18.074,"Uta"
"PG","Greivis Vasquez",3500,"NY@Mil 08:30PM ET",17.047,"Mil"
"SG","Ben McLemore",3500,"Sac@Hou 08:00PM ET",13.650,"Sac"
"PF","Boris Diaw",3400,"Bos@SA 08:30PM ET",14.088,"SA"
"SF","Corey Brewer",3400,"Sac@Hou 08:00PM ET",13.913,"Hou"
"SF","Lance Stephenson",3400,"Orl@LAC 10:30PM ET",13.417,"LAC"
"SG","Allen Crabbe",3400,"Por@Min 08:00PM ET",14.600,"Por"
"SF","Doug McDermott",3400,"Cha@Chi 08:00PM ET",13.734,"Chi"
