"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10700,"Bos@NO 08:00PM ET",48.588,"NO"
"PF","Blake Griffin",9400,"LAC@Min 08:00PM ET",45.000,"LAC"
"C","Andre Drummond",9300,"Det@Cha 07:00PM ET",47.750,"Det"
"PG","Kyle Lowry",8900,"LAL@Tor 07:30PM ET",44.131,"Tor"
"PG","Damian Lillard",8800,"Por@Mil 08:00PM ET",43.083,"Por"
"PG","John Wall",8600,"Was@Mia 07:30PM ET",41.264,"Was"
"SF","Kawhi Leonard",8600,"SA@Phi 07:00PM ET",41.563,"SA"
"PG","Chris Paul",8400,"LAC@Min 08:00PM ET",36.950,"LAC"
"PG","Eric Bledsoe",8200,"Pho@Chi 08:00PM ET",41.050,"Pho"
"SF","Carmelo Anthony",7900,"Dal@NY 07:30PM ET",36.571,"NY"
"PF","Kristaps Porzingis",7900,"Dal@NY 07:30PM ET",32.357,"NY"
"PG","Isaiah Thomas",7700,"Bos@NO 08:00PM ET",36.663,"Bos"
"SG","Jimmy Butler",7700,"Pho@Chi 08:00PM ET",37.471,"Chi"
"SG","Brandon Knight",7700,"Pho@Chi 08:00PM ET",38.619,"Pho"
"PG","Reggie Jackson",7600,"Det@Cha 07:00PM ET",36.857,"Det"
"C","Pau Gasol",7500,"Pho@Chi 08:00PM ET",37.235,"Chi"
"SG","Nicolas Batum",7500,"Det@Cha 07:00PM ET",35.539,"Cha"
"PF","Chris Bosh",7300,"Was@Mia 07:30PM ET",36.042,"Mia"
"PG","Kemba Walker",7300,"Det@Cha 07:00PM ET",34.368,"Cha"
"C","Hassan Whiteside",7300,"Was@Mia 07:30PM ET",37.167,"Mia"
"SF","Robert Covington",7300,"SA@Phi 07:00PM ET",32.167,"Phi"
"SG","DeMar DeRozan",7200,"LAL@Tor 07:30PM ET",34.333,"Tor"
"SG","Bradley Beal",7200,"Was@Mia 07:30PM ET",33.733,"Was"
"SG","Tyreke Evans",7100,"Bos@NO 08:00PM ET",38.167,"NO"
"PF","Dirk Nowitzki",7000,"Dal@NY 07:30PM ET",32.600,"Dal"
"C","DeAndre Jordan",7000,"LAC@Min 08:00PM ET",34.925,"LAC"
"SG","Andrew Wiggins",7000,"LAC@Min 08:00PM ET",31.250,"Min"
"SG","Dwyane Wade",6900,"Was@Mia 07:30PM ET",32.103,"Mia"
"C","Greg Monroe",6900,"Por@Mil 08:00PM ET",35.881,"Mil"
"C","Karl-Anthony Towns",6900,"LAC@Min 08:00PM ET",33.118,"Min"
"C","Jahlil Okafor",6800,"SA@Phi 07:00PM ET",31.987,"Phi"
"PF","LaMarcus Aldridge",6700,"SA@Phi 07:00PM ET",31.092,"SA"
"PG","Deron Williams",6600,"Dal@NY 07:30PM ET",30.913,"Dal"
"PG","Ish Smith",6600,"Bos@NO 08:00PM ET",30.053,"NO"
"PG","Ricky Rubio",6600,"LAC@Min 08:00PM ET",31.673,"Min"
"SG","C.J. McCollum",6600,"Por@Mil 08:00PM ET",32.357,"Por"
"SF","Giannis Antetokounmpo",6600,"Por@Mil 08:00PM ET",30.963,"Mil"
"PG","Derrick Rose",6400,"Pho@Chi 08:00PM ET",28.017,"Chi"
"SG","Avery Bradley",6400,"Bos@NO 08:00PM ET",27.125,"Bos"
"SG","Kobe Bryant",6300,"LAL@Tor 07:30PM ET",27.882,"LAL"
"C","Zaza Pachulia",6300,"Dal@NY 07:30PM ET",28.940,"Dal"
"SF","Marcus Morris",6300,"Det@Cha 07:00PM ET",28.345,"Det"
"C","Al Jefferson",6200,"Det@Cha 07:00PM ET",27.941,"Cha"
"C","Jared Sullinger",6200,"Bos@NO 08:00PM ET",29.100,"Bos"
"PF","Julius Randle",6200,"LAL@Tor 07:30PM ET",28.725,"LAL"
"PF","Ryan Anderson",6100,"Bos@NO 08:00PM ET",30.813,"NO"
"PF","Nerlens Noel",5900,"SA@Phi 07:00PM ET",25.824,"Phi"
