"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",11600,"Phi@OKC 08:00PM ET",55.813,"OKC"
"PF","Anthony Davis",10700,"NO@Tor 07:30PM ET",46.107,"NO"
"SG","James Harden",10100,"Hou@Den 09:00PM ET",49.125,"Hou"
"SF","LeBron James",9900,"Cle@NY 07:30PM ET",47.969,"Cle"
"SF","Kevin Durant",9900,"Phi@OKC 08:00PM ET",46.438,"OKC"
"C","DeMarcus Cousins",9900,"Bkn@Sac 10:00PM ET",43.900,"Sac"
"SF","Paul George",9200,"Min@Ind 07:00PM ET",45.194,"Ind"
"PG","Damian Lillard",8900,"Por@Mem 08:00PM ET",45.611,"Por"
"SF","Carmelo Anthony",8300,"Cle@NY 07:30PM ET",39.528,"NY"
"PG","Kyle Lowry",8100,"NO@Tor 07:30PM ET",41.139,"Tor"
"PF","Paul Millsap",8000,"Atl@Bos 07:30PM ET",41.825,"Atl"
"PF","Kevin Love",7900,"Cle@NY 07:30PM ET",40.250,"Cle"
"SG","Jimmy Butler",7800,"Cha@Chi 08:00PM ET",35.656,"Chi"
"PG","Rajon Rondo",7600,"Bkn@Sac 10:00PM ET",36.972,"Sac"
"C","Nikola Vucevic",7500,"Uta@Orl 07:00PM ET",34.125,"Orl"
"PG","Ricky Rubio",7500,"Min@Ind 07:00PM ET",36.000,"Min"
"C","Karl-Anthony Towns",7500,"Min@Ind 07:00PM ET",37.063,"Min"
"PF","Pau Gasol",7400,"Cha@Chi 08:00PM ET",34.438,"Chi"
"C","Dwight Howard",7400,"Hou@Den 09:00PM ET",41.600,"Hou"
"SG","Victor Oladipo",7400,"Uta@Orl 07:00PM ET",34.278,"Orl"
"C","Al Horford",7200,"Atl@Bos 07:30PM ET",36.900,"Atl"
"SG","DeMar DeRozan",7100,"NO@Tor 07:30PM ET",33.583,"Tor"
"PF","Derrick Favors",7100,"Uta@Orl 07:00PM ET",38.156,"Uta"
"C","Jahlil Okafor",7100,"Phi@OKC 08:00PM ET",33.594,"Phi"
"C","Brook Lopez",7000,"Bkn@Sac 10:00PM ET",36.313,"Bkn"
"PG","Jeff Teague",7000,"Atl@Bos 07:30PM ET",35.350,"Atl"
"PF","Nerlens Noel",7000,"Phi@OKC 08:00PM ET",32.875,"Phi"
"PG","Isaiah Thomas",6900,"Atl@Bos 07:30PM ET",33.250,"Bos"
"SF","Rudy Gay",6800,"Bkn@Sac 10:00PM ET",31.306,"Sac"
"SG","Tyreke Evans",6800,"NO@Tor 07:30PM ET",0,"NO"
"C","Rudy Gobert",6800,"Uta@Orl 07:00PM ET",33.464,"Uta"
"C","Marc Gasol",6700,"Por@Mem 08:00PM ET",28.417,"Mem"
"PG","Kyrie Irving",6700,"Cle@NY 07:30PM ET",0,"Cle"
"PF","Kenneth Faried",6500,"Hou@Den 09:00PM ET",31.344,"Den"
"PF","Serge Ibaka",6500,"Phi@OKC 08:00PM ET",30.844,"OKC"
"SG","C.J. McCollum",6500,"Por@Mem 08:00PM ET",31.722,"Por"
