"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10700,"NO@Atl 08:00PM ET",46.107,"NO"
"PG","Stephen Curry",10500,"GS@Mem 08:00PM ET",54.469,"GS"
"SG","James Harden",10100,"Bkn@Hou 08:00PM ET",49.750,"Hou"
"C","DeMarcus Cousins",9800,"Det@Sac 10:00PM ET",42.938,"Sac"
"PF","Blake Griffin",9500,"LAC@Dal 08:00PM ET",49.286,"LAC"
"C","Andre Drummond",9400,"Det@Sac 10:00PM ET",52.893,"Det"
"PG","Damian Lillard",8900,"SA@Por 10:30PM ET",45.563,"Por"
"PG","Chris Paul",8800,"LAC@Dal 08:00PM ET",35.250,"LAC"
"SF","Paul George",8800,"Ind@Bos 07:30PM ET",45.281,"Ind"
"SF","Carmelo Anthony",8500,"NY@Cha 07:00PM ET",39.156,"NY"
"PF","Greg Monroe",8300,"Mil@Den 09:00PM ET",39.469,"Mil"
"SF","Kawhi Leonard",8200,"SA@Por 10:30PM ET",40.393,"SA"
"PG","Kyle Lowry",8000,"Tor@Phi 07:00PM ET",40.750,"Tor"
"PF","Paul Millsap",7900,"NO@Atl 08:00PM ET",41.278,"Atl"
"C","DeAndre Jordan",7800,"LAC@Dal 08:00PM ET",36.821,"LAC"
"C","Nikola Vucevic",7600,"LAL@Orl 07:00PM ET",35.200,"Orl"
"SG","Victor Oladipo",7500,"LAL@Orl 07:00PM ET",37.625,"Orl"
"SF","Giannis Antetokounmpo",7400,"Mil@Den 09:00PM ET",33.036,"Mil"
"PG","Reggie Jackson",7300,"Det@Sac 10:00PM ET",38.286,"Det"
"C","Dwight Howard",7200,"Bkn@Hou 08:00PM ET",38.563,"Hou"
"SG","DeMar DeRozan",7200,"Tor@Phi 07:00PM ET",34.969,"Tor"
"PG","Isaiah Thomas",7200,"Ind@Bos 07:30PM ET",34.917,"Bos"
"C","Al Horford",7100,"NO@Atl 08:00PM ET",35.500,"Atl"
"C","Brook Lopez",7100,"Bkn@Hou 08:00PM ET",35.500,"Bkn"
"PF","Nerlens Noel",7000,"Tor@Phi 07:00PM ET",32.875,"Phi"
"SF","Rudy Gay",6900,"Det@Sac 10:00PM ET",30.406,"Sac"
"PF","LaMarcus Aldridge",6900,"SA@Por 10:30PM ET",31.286,"SA"
"PG","Jeff Teague",6900,"NO@Atl 08:00PM ET",35.444,"Atl"
"PF","Draymond Green",6900,"GS@Mem 08:00PM ET",34.531,"GS"
"PG","Rajon Rondo",6800,"Det@Sac 10:00PM ET",34.250,"Sac"
"SG","Tyreke Evans",6800,"NO@Atl 08:00PM ET",0,"NO"
"C","Marc Gasol",6700,"GS@Mem 08:00PM ET",26.625,"Mem"
"PG","Kemba Walker",6700,"NY@Cha 07:00PM ET",30.964,"Cha"
"SG","C.J. McCollum",6700,"SA@Por 10:30PM ET",32.719,"Por"
"SG","Klay Thompson",6600,"GS@Mem 08:00PM ET",28.063,"GS"
"C","Jahlil Okafor",6600,"Tor@Phi 07:00PM ET",32.357,"Phi"
"C","Al Jefferson",6500,"NY@Cha 07:00PM ET",28.750,"Cha"
"PF","Kenneth Faried",6500,"Mil@Den 09:00PM ET",30.000,"Den"
"SG","Nicolas Batum",6500,"NY@Cha 07:00PM ET",30.964,"Cha"
"PF","Julius Randle",6500,"LAL@Orl 07:00PM ET",28.214,"LAL"
"PF","Dirk Nowitzki",6400,"LAC@Dal 08:00PM ET",30.750,"Dal"
"PG","Michael Carter-Williams",6300,"Mil@Den 09:00PM ET",32.875,"Mil"
"SF","Marcus Morris",6200,"Det@Sac 10:00PM ET",30.857,"Det"
"SG","Kobe Bryant",6100,"LAL@Orl 07:00PM ET",26.625,"LAL"
"PF","Zach Randolph",6100,"GS@Mem 08:00PM ET",28.844,"Mem"
"PG","George Hill",6100,"Ind@Bos 07:30PM ET",30.625,"Ind"
"PG","Ty Lawson",6100,"Bkn@Hou 08:00PM ET",26.821,"Hou"
"SF","Danilo Gallinari",6100,"Mil@Den 09:00PM ET",28.357,"Den"
"SF","Al-Farouq Aminu",6100,"SA@Por 10:30PM ET",28.531,"Por"
"C","Jonas Valanciunas",6100,"Tor@Phi 07:00PM ET",29.625,"Tor"
"PG","Emmanuel Mudiay",6100,"Mil@Den 09:00PM ET",28.929,"Den"
"PF","Tim Duncan",6000,"SA@Por 10:30PM ET",29.107,"SA"
"PG","Deron Williams",6000,"LAC@Dal 08:00PM ET",25.250,"Dal"
"PG","Mike Conley",6000,"GS@Mem 08:00PM ET",28.594,"Mem"
"SG","Eric Gordon",6000,"NO@Atl 08:00PM ET",29.179,"NO"
"SG","Khris Middleton",6000,"Mil@Den 09:00PM ET",25.406,"Mil"
"PF","Terrence Jones",6000,"Bkn@Hou 08:00PM ET",19.000,"Hou"
"SF","Evan Fournier",6000,"LAL@Orl 07:00PM ET",29.969,"Orl"
"SF","Tobias Harris",5900,"LAL@Orl 07:00PM ET",29.000,"Orl"
"PF","Kristaps Porzingis",5900,"NY@Cha 07:00PM ET",27.688,"NY"
